Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
315,13500,-27000,-19285,-27000,-27000,-27000,-18000,-23708,27000,-12272,1800,-13500,-27000,-27000,-27000,-13300,-27000,1
317,0,-27000,-19285,-23823,9000,-27000,-27000,3108,27000,-2454,-18000,-13500,-27000,-27000,-27000,-15500,-16200,1
319,0,-27000,-27000,-20647,9000,-27000,-27000,12006,27000,7363,3600,-13500,-27000,-27000,-27000,-15500,-16200,1
322,0,-27000,-27000,-20647,-27000,-27000,-27000,2864,27000,-2454,1800,-13500,-27000,-27000,-27000,-19500,-27000,1
323,0,-21600,-19285,-20647,-27000,-27000,-27000,-20661,27000,2454,-14400,-13500,-27000,-27000,-27000,-13710,-27000,1
325,0,-27000,-27000,-20647,-9000,-27000,-27000,-21392,27000,22090,-9000,-13500,-27000,-27000,-27000,-19080,-16200,1
326,13500,-27000,-11571,-23823,-27000,-27000,-18000,-16760,27000,7363,21600,-13500,-27000,-27000,-27000,-11069,-27000,1
327,-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,1
331,0,-27000,-27000,-20647,9000,-27000,-27000,6277,-27000,2454,1800,-13500,-27000,-27000,-27000,-16100,-27000,1
332,0,-27000,-11571,-23823,9000,-27000,-27000,-13591,-27000,2454,16200,-13500,-27000,-27000,-27000,-17550,-27000,1
338,0,-27000,-27000,-17470,-27000,-27000,-18000,-9568,27000,7363,3600,-13500,-27000,-27000,-27000,-12930,-27000,1
352,-13500,-27000,-11571,-7941,-27000,-27000,-27000,-25659,27000,2454,-19800,-13500,-27000,-27000,-27000,-12500,-27000,1
356,-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26878,27000,-22090,21600,-13500,-27000,-27000,-27000,-21000,-27000,1
366,0,-27000,-11571,-17470,9000,-27000,-27000,-16395,27000,-2454,18000,-13500,-27000,-27000,-27000,-12869,-27000,1
369,0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,1
376,0,-27000,-27000,-20647,-27000,-27000,-18000,-12981,27000,17181,19800,-13500,-27000,-27000,-27000,-16560,-27000,1
378,0,-27000,-19285,-17470,-9000,-27000,-27000,-22733,27000,-17181,-23400,-13500,-27000,-27000,-27000,-19890,-27000,1
380,0,-27000,3857,7941,-27000,-27000,-18000,1889,27000,12272,-5400,-13500,-27000,-27000,-27000,-15338,-16200,1
382,0,-16200,-11571,-20647,-27000,-27000,0,-23099,27000,27000,-25200,-13500,-27000,-27000,-27000,-12210,-27000,1
384,0,-27000,-11571,-23823,-27000,-27000,-27000,-15907,27000,-2454,5400,-13500,-27000,-27000,-27000,-13410,-27000,1
387,13500,-27000,-19285,-17470,-27000,-27000,-18000,-8106,27000,27000,18000,-13500,-27000,-27000,-27000,-15440,-16200,1
388,0,-16200,-27000,-23823,-27000,-27000,0,-27000,27000,-7363,-3600,-13500,-27000,-27000,-27000,-4900,-27000,1
395,0,-21600,-11571,-17470,-27000,-27000,-27000,-23952,27000,2454,12600,-13500,-27000,-27000,-27000,-11790,-16200,1
398,0,-27000,-19285,-20647,-27000,-27000,-27000,6277,27000,-7363,-5400,-13500,-27000,-27000,-27000,-17500,-27000,1
400,0,-27000,-27000,-23823,-27000,-27000,-27000,-60,27000,7363,-7200,-13500,-27000,-27000,-27000,-19000,-27000,1
401,0,-27000,-11571,-20647,-27000,-27000,-27000,-1036,27000,17181,-27000,-13500,-27000,-27000,-27000,-16715,-5400,1
402,0,-27000,-19285,-20647,-27000,-27000,-27000,-2864,27000,12272,-12600,-13500,-27000,-27000,-27000,-18000,-27000,1
405,0,-27000,-27000,-17470,-27000,-27000,-27000,-23830,-27000,12272,1800,-13500,-27000,-27000,-27000,-15233,-16200,1
407,0,-21600,-19285,-17470,-27000,-27000,0,-11884,27000,27000,18000,-13500,-27000,-27000,-27000,-11338,-5400,1
408,13500,-27000,-27000,-17470,-27000,-27000,-18000,-16638,27000,7363,-23400,-13500,-27000,-27000,-27000,-11790,-27000,1
409,0,-27000,-27000,-23823,-27000,-27000,-27000,-6643,27000,7363,-18000,-13500,-27000,-27000,-27000,-16470,-27000,1
413,13500,-27000,-11571,-20647,-27000,-27000,-18000,-17735,27000,-7363,23400,-13500,-27000,-27000,-27000,-11955,-27000,1
418,0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,1
420,0,-27000,-19285,-17470,-9000,-27000,-27000,-12128,27000,22090,-3600,-13500,-27000,-27000,-27000,-19410,-5400,1
423,-13500,-27000,-11571,-20647,-27000,-27000,-27000,-7252,27000,17181,-3600,-13500,-27000,-27000,-27000,-15500,-27000,1
424,13500,-27000,-19285,-23823,-27000,-27000,-18000,-23952,27000,2454,-25200,-13500,-27000,-27000,-27000,-8300,-27000,1
426,0,-27000,-27000,-14294,-9000,-27000,-27000,1767,27000,12272,19800,-13500,-27000,-27000,-27000,-18557,-16200,1
427,0,-27000,-11571,-17470,-27000,-27000,-27000,-12372,27000,-12272,-14400,-13500,-27000,-27000,-27000,-17905,-27000,1
429,0,-27000,-11571,-14294,-27000,-27000,-27000,304,27000,12272,-23400,-13500,-27000,-27000,-27000,-17282,-16200,1
434,0,-27000,-27000,-20647,-27000,-27000,-27000,-25171,27000,-22090,0,-13500,-27000,-27000,-27000,-17900,-16200,1
435,0,-27000,-27000,-11117,9000,-27000,-27000,1036,27000,12272,-18000,-13500,-27000,-27000,-27000,-13300,-27000,1
440,0,-27000,-19285,-14294,-27000,-27000,-27000,-8959,27000,7363,10800,-13500,-27000,-27000,-27000,-17370,-27000,1
448,0,-27000,-3857,-11117,-27000,-27000,-18000,-26390,27000,-12272,-21600,-13500,-27000,-27000,-27000,-14325,-27000,1
449,0,-27000,-19285,-23823,9000,-27000,-27000,3108,27000,-2454,-18000,-13500,-27000,-27000,-27000,-15500,-16200,1
450,0,-27000,-11571,-23823,-9000,-27000,-27000,-24074,27000,17181,0,-13500,-27000,-27000,-27000,-16290,-16200,1
455,0,-27000,-27000,-11117,-27000,-27000,-27000,1036,27000,12272,-18000,-13500,-27000,-27000,-27000,-13300,-16200,1
456,0,-21600,-19285,-17470,-27000,-27000,-27000,-15785,27000,17181,27000,-13500,-27000,-27000,-27000,-16357,-16200,1
459,0,-27000,-27000,-23823,-9000,-27000,-27000,-17004,27000,-2454,12600,-13500,-27000,-27000,-27000,-18450,-27000,1
463,0,-27000,-11571,-7941,-27000,-27000,-27000,-6765,27000,7363,3600,-13500,-27000,-27000,-27000,-16988,-27000,1
465,0,-27000,-19285,-20647,9000,-27000,-27000,10665,27000,-7363,-5400,-13500,-27000,-27000,-27000,-16900,-27000,1
474,0,-27000,-19285,-23823,-9000,-27000,-27000,-22367,27000,12272,18000,-13500,-27000,-27000,-27000,-15741,-27000,1
475,0,-16200,-11571,-23823,-27000,-27000,18000,-23343,27000,-2454,-7200,-13500,-27000,-27000,-27000,-8296,-27000,1
480,-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,1
487,0,-16200,-27000,-23823,-27000,-27000,-9000,-25049,27000,-17181,-14400,-13500,-27000,-27000,-27000,-18697,-27000,1
488,0,-27000,-19285,-17470,-27000,-27000,-27000,-24074,27000,-22090,-9000,-13500,-27000,-27000,-27000,-17900,-27000,1
490,0,-27000,-19285,-20647,-27000,-27000,-27000,10178,27000,22090,-21600,-13500,-27000,-27000,-27000,-18100,-27000,1
495,-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26878,27000,-22090,21600,-13500,-27000,-27000,-27000,-21000,-27000,1
496,0,-27000,-27000,-17470,-27000,-27000,-27000,-1036,27000,-2454,-16200,-13500,-27000,-27000,-27000,-14000,-27000,1
506,13500,-27000,-11571,-17470,-27000,-27000,-18000,-1523,27000,17181,9000,-13500,-27000,-27000,-27000,-14130,-16200,1
512,0,-27000,-27000,-20647,-27000,-27000,-27000,-22002,27000,17181,9000,-13500,-27000,-27000,-27000,-11000,-16200,1
513,0,-27000,-11571,-23823,-27000,-27000,-18000,-8227,27000,17181,25200,-13500,-27000,-27000,-27000,-16590,-5400,1
516,0,-27000,-11571,-14294,-27000,-27000,-18000,-14932,27000,-12272,-10800,-13500,-27000,-27000,-27000,-17622,-16200,1
527,13500,-27000,-27000,-23823,9000,-27000,-18000,-10787,27000,2454,12600,-13500,-27000,-27000,-27000,-8100,-27000,1
528,0,-27000,-11571,-23823,-27000,-27000,-18000,-23708,27000,-2454,18000,-13500,-27000,-27000,-27000,-11733,-27000,1
531,0,-21600,-27000,-17470,-27000,-27000,-27000,-16516,27000,27000,-14400,-13500,-27000,-27000,-27000,-14800,-27000,1
536,0,-21600,-27000,-20647,-27000,-27000,0,13225,27000,7363,27000,-13500,-27000,-27000,-27000,-9720,-27000,1
538,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-22733,27000,-17181,-10800,-13500,-27000,-27000,-27000,-19890,-27000,1
539,-13500,-27000,19285,20647,-27000,-27000,-18000,-25537,27000,-17181,25200,-13500,-27000,-27000,-27000,-14194,-27000,1
542,0,-27000,-27000,-14294,-27000,-27000,-18000,-21270,27000,12272,19800,-13500,-27000,-27000,-27000,-13938,-16200,1
547,0,-27000,-27000,-20647,9000,-27000,-27000,4205,27000,-2454,-1800,-13500,-27000,-27000,-27000,-15800,-16200,1
552,0,-27000,-19285,-20647,-27000,-27000,-27000,-17492,27000,-17181,16200,-13500,-27000,-27000,-27000,-17000,-27000,1
554,-13500,-16200,3857,1588,-27000,-27000,0,-23343,27000,22090,-25200,-13500,-27000,-27000,-27000,-8378,-27000,1
559,0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,1
560,0,-27000,-27000,-20647,9000,-27000,-27000,6277,-27000,2454,1800,-13500,-27000,-27000,-27000,-16100,-27000,1
561,0,-27000,-27000,-23823,-27000,-27000,-27000,-22977,27000,22090,18000,-13500,-27000,-27000,-27000,-16600,-16200,1
563,0,-27000,-19285,-17470,-27000,-27000,-27000,1279,27000,12272,-19800,-13500,-27000,-27000,-27000,-16970,-27000,1
564,-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,1
566,0,-27000,-11571,-20647,-27000,-27000,-18000,-21514,27000,17181,-16200,-13500,-27000,-27000,-27000,-13050,-16200,1
571,0,-27000,-27000,-17470,-27000,-27000,-27000,10056,27000,22090,-23400,-13500,-27000,-27000,-27000,-18100,-27000,1
576,0,-27000,-27000,-23823,-9000,-27000,-27000,-20905,27000,17181,5400,-13500,-27000,-27000,-27000,-16200,-16200,1
578,0,-27000,-27000,-17470,-27000,-27000,9000,-15297,27000,12272,-5400,-13500,-27000,-27000,-27000,-14012,-27000,1
580,0,-27000,-19285,-23823,-9000,-27000,-27000,-23952,27000,17181,-23400,-13500,-27000,-27000,-27000,-14100,-16200,1
581,0,-27000,-11571,-11117,-27000,-27000,-27000,-8959,27000,-2454,16200,-13500,-27000,-27000,-27000,-19047,-27000,1
596,0,-27000,-27000,-20647,-27000,-27000,-27000,2864,27000,-2454,1800,-13500,-27000,-27000,-27000,-19500,-27000,1
599,0,-27000,-19285,-20647,-27000,-27000,-27000,-16638,27000,-2454,7200,-13500,-27000,-27000,-27000,-14310,-27000,1
600,0,-27000,-27000,-20647,-9000,-27000,-27000,-26268,27000,-22090,18000,-13500,-27000,-27000,-27000,-19100,-27000,1
601,0,-27000,-11571,-17470,-27000,-27000,-27000,4205,27000,17181,12600,-13500,-27000,-27000,-27000,-17565,-5400,1
602,0,-27000,-27000,-20647,9000,-27000,-27000,5302,27000,-2454,14400,-13500,-27000,-27000,-27000,-16100,-27000,1
610,0,-27000,-11571,-11117,-27000,-27000,-27000,-7009,27000,2454,19800,-13500,-27000,-27000,-27000,-17055,-27000,1
619,0,-27000,-11571,-23823,-27000,-27000,-27000,-13957,27000,-7363,23400,-13500,-27000,-27000,-27000,-18925,-16200,1
627,0,-27000,-11571,-20647,-27000,-27000,-27000,-6643,27000,17181,-27000,-13500,-27000,-27000,-27000,-16110,-16200,1
629,0,-27000,-19285,-20647,-27000,-27000,-27000,-14688,27000,-12272,-21600,-13500,-27000,-27000,-27000,-19000,-27000,1
630,0,-27000,-27000,-17470,-27000,-27000,-27000,4571,27000,-7363,-19800,-13500,-27000,-27000,-27000,-18000,-27000,1
636,0,-27000,-27000,-20647,-27000,-27000,-27000,-26512,27000,-12272,-27000,-13500,-27000,-27000,-27000,-15900,-27000,1
638,13500,-27000,-27000,-14294,-27000,-27000,-18000,-10300,27000,7363,14400,-13500,-27000,-27000,-27000,-13905,-27000,1
642,0,-27000,-11571,-23823,-27000,-27000,-27000,-20173,27000,7363,21600,-13500,-27000,-27000,-27000,-16020,-27000,1
643,0,-27000,-11571,-14294,-27000,-27000,-27000,-8837,27000,2454,-10800,-13500,-27000,-27000,-27000,-19775,-27000,1
645,13500,-27000,-19285,-23823,-27000,-27000,-18000,-20661,27000,17181,1800,-13500,-27000,-27000,-27000,-11160,-16200,1
648,0,-27000,-27000,-17470,-27000,-27000,-18000,-20051,27000,27000,23400,-13500,-27000,-27000,-27000,-5040,-27000,1
651,0,-27000,-19285,-20647,-27000,-27000,-27000,-17492,27000,-17181,16200,-13500,-27000,-27000,-27000,-17000,-27000,1
665,0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,1
671,0,-27000,-19285,-23823,-9000,-27000,-27000,-21027,27000,2454,-12600,-13500,-27000,-27000,-27000,-16470,-27000,1
674,0,-27000,-27000,-20647,9000,-27000,-27000,5302,27000,-2454,14400,-13500,-27000,-27000,-27000,-15500,-16200,1
678,-13500,-27000,-11571,-11117,-9000,-27000,-27000,-19686,27000,-2454,1800,-13500,-27000,-27000,-27000,-17383,-16200,1
681,0,-16200,-11571,-17470,-27000,-27000,0,-10422,27000,2454,-12600,-13500,-27000,-27000,-27000,-9745,-27000,1
687,0,-27000,-11571,-11117,-9000,-27000,-27000,-26268,27000,22090,1800,-13500,-27000,-27000,-27000,-19131,-27000,1
688,0,-27000,-27000,-17470,-9000,-27000,-27000,-19930,27000,22090,-23400,-13500,-27000,-27000,-27000,-19080,-27000,1
