no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26756,-27000,12272,-10800,27000,-27000,-27000,-27000,-27000,-16200,63,0
0,-27000,-11571,-23823,-27000,-27000,-27000,-16516,27000,27000,3600,-27000,-27000,-27000,-27000,-19500,-27000,64,0
0,-27000,-27000,-17470,-27000,-27000,-18000,-23343,27000,17181,-19800,-13500,-27000,-27000,-27000,-11250,-5400,65,0
0,-27000,-27000,-20647,-27000,-27000,-18000,-5180,27000,-2454,-23400,-13500,-27000,-27000,-27000,-17230,-16200,66,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-20295,27000,-12272,-18000,-27000,-27000,-27000,-27000,-19000,-27000,68,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-17979,27000,-12272,16200,-13500,-27000,-27000,-27000,-18450,-16200,69,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-9568,27000,7363,16200,-27000,-27000,-27000,-27000,-17000,-27000,70,0
0,-27000,-19285,-27000,-9000,-27000,-27000,-22855,27000,22090,-3600,-13500,-27000,-27000,-27000,-18200,-5400,71,0
0,-27000,-19285,-23823,-27000,27000,-27000,-23343,27000,7363,23400,-13500,-27000,-27000,-27000,-14715,-16200,72,0
0,-27000,-11571,-17470,-27000,-27000,-18000,-22855,-27000,17181,16200,-27000,-27000,-27000,-27000,-19500,-27000,74,0
0,-27000,-19285,-14294,-27000,-27000,-18000,-24805,27000,-17181,-12600,-13500,-27000,-27000,-27000,-15320,-16200,75,0
13500,-27000,-19285,-23823,-27000,-27000,-18000,5546,27000,27000,27000,-13500,-27000,-27000,-27000,-14850,-27000,76,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-19198,27000,-2454,19800,-13500,-27000,-27000,-27000,-15810,-16200,77,0
0,-27000,-27000,-11117,-27000,-27000,-27000,-21392,27000,-17181,23400,-27000,-27000,-27000,-27000,-19500,-16200,79,0
0,-27000,-11571,-27000,-9000,-27000,-27000,-24562,27000,27000,16200,-13500,-27000,-27000,-27000,-18200,-5400,82,0
0,-27000,-19285,-14294,-27000,-27000,-18000,-22124,27000,-17181,-3600,-13500,-27000,-27000,-27000,-17118,-27000,83,0
0,-27000,-19285,-20647,-27000,27000,-18000,-21392,27000,-17181,-21600,-13500,-27000,-27000,-27000,-17170,-16200,84,0
-13500,-27000,-19285,-27000,-27000,-27000,-27000,-26878,27000,17181,1800,-13500,-27000,-27000,-27000,-12000,-5400,85,0
0,-27000,-11571,-17470,-9000,-27000,-27000,-3108,27000,12272,-21600,-13500,-27000,-27000,-27000,-17395,-16200,86,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-24927,27000,27000,-10800,-13500,27000,-27000,-22344,-17500,-27000,88,0
0,-27000,-27000,-17470,-27000,-27000,9000,-9203,27000,7363,-12600,-27000,-27000,-27000,-27000,-15644,-27000,89,0
0,-27000,-19285,-17470,-9000,-27000,-27000,-13591,27000,-7363,-19800,-13500,-27000,-27000,-27000,-16842,-16200,90,0
0,-27000,-19285,-20647,-27000,27000,-27000,-18711,27000,-17181,3600,-13500,-27000,-27000,-27000,-16470,-27000,91,0
0,-27000,-11571,-23823,-27000,-27000,-18000,-18101,27000,-12272,-12600,-13500,-27000,-27000,-27000,-15420,-16200,92,0
0,-27000,-27000,-23823,-27000,-27000,-18000,-15785,27000,-7363,5400,-13500,-27000,-27000,-27000,-12060,-16200,93,0
0,-21600,-27000,-20647,-27000,27000,-27000,-10665,27000,7363,-21600,-13500,-27000,-27000,-27000,-13950,-5400,95,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-12616,27000,-12272,-5400,-13500,-27000,-27000,-27000,-17905,-16200,97,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-23343,27000,22090,1800,-13500,-27000,-27000,-27000,-19392,-16200,98,0
0,-16200,-19285,-17470,-27000,-27000,0,-23343,27000,27000,10800,-13500,-27000,-27000,-27000,-11310,-27000,99,0
0,-27000,-19285,-27000,-9000,-27000,-27000,-3961,27000,17181,12600,-13500,-27000,-27000,-27000,-18450,-5400,100,0
13500,-27000,-19285,-20647,-27000,-27000,-18000,-20295,27000,-7363,-5400,-13500,-27000,-27000,-27000,-11069,-5400,101,0
-13500,-27000,-27000,-14294,-27000,-27000,-27000,-20295,27000,27000,-5400,-13500,-27000,-27000,-27000,-19520,-5400,102,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-25049,-27000,17181,27000,-13500,-27000,-27000,-27000,-17500,-16200,103,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-24074,-27000,17181,-14400,-13500,-27000,-27000,-27000,-16300,-16200,104,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-26024,27000,-22090,0,-27000,-27000,-27000,-27000,-20600,-27000,105,0
0,-27000,-19285,-14294,-27000,27000,-27000,-25781,-27000,22090,-25200,-13500,-27000,-27000,-27000,-18705,-27000,106,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-27000,-27000,12272,9000,-13500,-27000,-27000,-27000,-11500,-16200,107,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-25537,27000,-2454,25200,-13500,-27000,-27000,-27000,-16832,-16200,108,0
0,-27000,-11571,-23823,-27000,-27000,-27000,-23099,-27000,12272,-19800,-13500,-27000,-27000,-27000,-17550,5400,109,0
0,-27000,-19285,-27000,-9000,-27000,-27000,-26878,27000,-2454,19800,-13500,-27000,-27000,-27000,-14300,-16200,111,0
0,-27000,-27000,-17470,-9000,-27000,-27000,-12128,27000,-2454,0,-13500,-27000,-27000,-27000,-15390,-5400,112,0
0,-27000,-11571,-17470,-27000,-27000,-27000,-22124,27000,-2454,25200,-13500,-27000,-27000,-27000,-15210,-16200,113,0
13500,-27000,-11571,-20647,-27000,27000,-18000,-12006,27000,7363,-5400,-13500,-27000,-27000,-27000,-11430,-16200,115,0
0,-21600,-11571,-11117,-27000,-27000,-27000,-14200,27000,22090,-7200,-13500,-27000,-27000,-27000,-16717,5400,117,0
0,-27000,-11571,-17470,-27000,-27000,-27000,-26756,-27000,22090,-3600,-13500,-27000,-27000,-27000,-16700,-16200,119,0
0,-27000,-27000,-20647,9000,-27000,-27000,7862,27000,12272,0,-27000,-27000,-27000,-27000,-21150,-27000,121,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-8959,27000,-7363,-19800,-13500,-27000,-27000,-27000,-16470,-27000,123,0
13500,-27000,-11571,-27000,-27000,-27000,-18000,-18711,27000,-12272,14400,-13500,-27000,-27000,-27000,-13680,-5400,124,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-23343,27000,-17181,25200,-27000,-27000,-27000,-27000,-18450,-27000,125,0
-13500,-27000,-11571,-17470,-27000,-27000,-27000,-12738,27000,-2454,-19800,-27000,-27000,-27000,-27000,-16000,-27000,128,0
0,-27000,-19285,-14294,-27000,-27000,-18000,-16638,27000,2454,-5400,-13500,-27000,-27000,-27000,-17852,-16200,129,0
0,-27000,-27000,-20647,-9000,-27000,-27000,-26878,27000,17181,7200,-13500,-27000,-27000,-27000,-13500,-5400,130,0
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-23952,27000,17181,1800,-13500,-27000,-27000,-27000,-14100,-5400,131,0
0,-27000,-19285,-14294,-27000,-27000,-18000,-23586,-27000,17181,5400,-27000,-27000,-27000,-27000,-19500,-27000,133,0
-13500,-27000,-27000,-14294,-9000,-27000,-27000,-17248,27000,-17181,23400,-13500,-27000,-27000,-27000,-19775,-27000,134,0
0,-27000,-27000,-23823,-27000,-27000,-18000,-25659,-27000,17181,-12600,-13500,-27000,-27000,-27000,-11500,-5400,135,0
0,-27000,-11571,-11117,-27000,-27000,-27000,-8106,27000,-2454,21600,-13500,-27000,-27000,-27000,-17905,-5400,137,0
-13500,-27000,-11571,-20647,-27000,-27000,-27000,-17004,27000,-7363,10800,-13500,-27000,-27000,-27000,-16035,-27000,138,0
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-25415,27000,-7363,-12600,-27000,-27000,-27000,-27000,-18000,-27000,140,0
0,-27000,-11571,-20647,-27000,-27000,-27000,5424,27000,17181,25200,-13500,-27000,-27000,-27000,-18330,-5400,143,0
0,-27000,-19285,-27000,-27000,-27000,-27000,-22246,27000,-17181,21600,-13500,-27000,-27000,-27000,-15210,-16200,144,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-25415,27000,-2454,-27000,27000,27000,-14538,-22344,-27000,-16200,145,0
0,-27000,-27000,-14294,-9000,-27000,-27000,-13347,27000,-7363,-21600,-13500,-27000,-27000,-27000,-16842,-16200,146,0
0,-27000,-19285,-20647,-9000,-27000,-27000,-16273,27000,-12272,-14400,-13500,-27000,-27000,-27000,-21110,-16200,147,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-20173,27000,-2454,-14400,-27000,-27000,-27000,-27000,-15000,-27000,148,0
0,-27000,-19285,-23823,-27000,-27000,-27000,-17248,27000,-7363,-25200,-13500,-27000,-27000,-27000,-14310,-16200,150,0
0,-27000,-19285,-17470,-9000,-27000,-27000,-18589,27000,-12272,-21600,-13500,-27000,-27000,-27000,-18925,-16200,152,0
0,-27000,-27000,-23823,9000,-27000,-27000,-20295,27000,-12272,-18000,-27000,-27000,-27000,-27000,-16600,-27000,154,0
-13500,-27000,-27000,-17470,-27000,-27000,-27000,-26512,27000,22090,-27000,0,27000,-22846,-22344,-20500,-16200,155,0
0,-27000,-27000,-17470,-27000,-27000,-18000,-15176,27000,-7363,14400,-13500,-27000,-27000,-27000,-12960,-27000,156,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-21636,27000,-22090,1800,-27000,-27000,-27000,-27000,-19500,-27000,157,0
0,-27000,-19285,-27000,-9000,-27000,-27000,-27000,27000,-2454,-19800,-13500,-27000,-27000,-27000,-16100,-27000,159,0
0,-27000,-11571,-20647,-27000,-27000,-27000,-19442,27000,22090,-7200,-13500,-27000,-27000,-27000,-16500,-5400,160,0
0,-27000,-11571,-20647,-27000,-27000,-18000,-16516,27000,-12272,1800,-13500,-27000,-27000,-27000,-16205,-16200,161,0
13500,-27000,-11571,-20647,-27000,-27000,18000,-26634,27000,17181,-16200,-13500,-27000,-27000,-27000,-5440,-16200,162,0
0,-27000,-19285,-23823,-9000,-27000,-27000,-2986,27000,7363,-27000,-13500,-27000,-27000,-27000,-18450,-16200,163,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-9568,27000,2454,-7200,-13500,-27000,-27000,-27000,-16470,-5400,164,0
-13500,-27000,-11571,-23823,9000,-27000,-27000,-24196,27000,-27000,-25200,-13500,-27000,-27000,-27000,-26900,-27000,165,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-25415,27000,22090,0,-13500,-27000,-27000,-27000,-19685,-16200,167,0
0,-21600,-19285,-27000,-9000,-27000,-27000,-25659,-27000,12272,-5400,-13500,-27000,-27000,-27000,-18260,-16200,169,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-7496,27000,-2454,25200,-13500,-27000,-27000,-27000,-17905,-16200,172,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-14322,27000,17181,3600,-13500,-27000,-27000,-27000,-17852,-16200,173,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-26756,27000,-17181,10800,-13500,-27000,-27000,-27000,-18100,-27000,175,0
0,-27000,-19285,-14294,-9000,-27000,-27000,-25293,27000,7363,1800,-13500,-27000,-27000,-27000,-17857,-16200,176,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-24318,27000,-7363,7200,-27000,-27000,-27000,-27000,-13000,-27000,177,0
-13500,-21600,-11571,-11117,-9000,-27000,-27000,-22489,-27000,17181,14400,-13500,-27000,-27000,-27000,-18222,-27000,178,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-25659,-27000,12272,-12600,-13500,-27000,-27000,-27000,-18915,-16200,180,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-16516,27000,-17181,27000,-13500,-27000,-27000,-27000,-18755,-16200,181,0
0,-27000,-19285,-23823,-27000,-27000,-18000,-18223,27000,-12272,-25200,-13500,-27000,-27000,-27000,-17370,-16200,183,0
0,-27000,-27000,-20647,-27000,-27000,-18000,-20173,27000,-7363,-5400,-13500,-27000,-27000,-27000,-12960,-16200,185,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-3961,27000,7363,-14400,-27000,-27000,-27000,-27000,-19775,-27000,186,0
0,-27000,-19285,-14294,-27000,-27000,-18000,-11641,27000,7363,-1800,-13500,-27000,-27000,-27000,-14400,-27000,187,0
-13500,-27000,-11571,-20647,-27000,-27000,-18000,-17126,27000,22090,-18000,-13500,-27000,-27000,-27000,-12340,-16200,189,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-15785,27000,-7363,25200,-27000,-27000,-27000,-27000,-16848,-27000,195,0
0,-27000,-11571,-23823,-27000,-27000,-27000,-13713,27000,-17181,7200,-27000,-27000,-27000,-27000,-21200,-27000,197,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-11519,27000,-17181,12600,-27000,-27000,-27000,-27000,-20850,-5400,198,0
0,-27000,-19285,-14294,-9000,-27000,-27000,-7984,27000,7363,14400,-13500,-27000,-27000,-27000,-18270,-16200,200,0
0,-27000,-11571,-23823,-27000,-27000,-27000,-19930,27000,22090,5400,-27000,-27000,-27000,-27000,-19500,-16200,204,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-13469,27000,-7363,-25200,-13500,-27000,-27000,-27000,-16842,-16200,206,0
0,-27000,-11571,-17470,-27000,-27000,-27000,-22855,27000,7363,9000,-27000,-27000,-27000,-27000,-18500,-27000,207,0
0,-27000,-11571,-14294,-27000,-27000,-27000,-24927,27000,27000,-23400,-13500,-27000,-27000,-27000,-17161,-27000,208,0
-13500,-27000,-27000,-27000,-27000,-27000,-27000,-26512,27000,-22090,19800,27000,-27000,-27000,-27000,-27000,-16200,209,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-26268,-27000,12272,10800,-13500,-27000,-27000,-27000,-16393,-16200,210,0
0,-27000,-19285,-23823,-27000,-27000,-27000,-23099,27000,2454,3600,-27000,-27000,-27000,-27000,-16500,-16200,211,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-26512,-27000,12272,10800,-13500,-27000,-27000,-27000,-12500,-5400,212,0
0,-27000,-11571,-20647,-27000,-27000,-27000,-12494,27000,7363,-5400,-13500,-27000,-27000,-27000,-15570,-16200,214,0
-13500,-27000,-19285,-23823,-9000,-27000,-27000,-25415,27000,27000,-19800,-13500,-27000,-27000,-27000,-18200,-27000,215,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-19808,-27000,17181,-1800,-13500,-27000,-27000,-27000,-18075,-5400,216,0
0,-21600,-11571,-11117,-27000,-27000,-18000,-17492,27000,-17181,7200,-13500,-27000,-27000,-27000,-18368,-16200,217,0
0,-27000,-27000,-17470,-27000,-27000,-27000,13835,27000,17181,-5400,-27000,-27000,-27000,-27000,-18000,-16200,218,0
0,-27000,-11571,-11117,-27000,-27000,-27000,-14444,-27000,7363,10800,-13500,-27000,-27000,-27000,-21404,-27000,219,0
-13500,-27000,-27000,-20647,-9000,-27000,-27000,-27000,27000,-2454,-14400,-13500,-27000,-27000,-27000,-16100,-16200,220,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-12616,27000,-17181,-27000,-27000,-27000,-27000,-27000,-18400,-27000,221,0
0,-27000,-19285,-11117,-27000,-27000,-27000,-20173,27000,12272,-19800,-13500,-27000,-27000,-27000,-15105,-27000,222,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-13957,27000,-2454,-10800,-27000,-27000,-27000,-27000,-14000,-16200,223,0
0,-27000,-19285,-17470,-9000,-27000,-27000,-18467,27000,-12272,-3600,-13500,-27000,-27000,-27000,-17944,-16200,224,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-17735,27000,-12272,-27000,-13500,-27000,-27000,-27000,-18270,-16200,225,0
-13500,-16200,-11571,-20647,-27000,-27000,0,-26512,-27000,12272,5400,-13500,-27000,-27000,-27000,-6925,-5400,227,0
0,-21600,-27000,-20647,-27000,-27000,-27000,-25171,27000,-17181,3600,-13500,-27000,-27000,-27000,-14300,-16200,228,0
0,-21600,-19285,-17470,-27000,-27000,-27000,-17613,27000,-7363,-7200,-13500,-27000,-27000,-27000,-13485,-16200,231,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-24318,27000,17181,21600,-27000,-27000,-27000,-27000,-18000,-27000,232,0
0,-27000,-19285,-27000,-9000,-27000,-27000,-27000,-27000,17181,3600,-13500,-27000,-27000,-27000,-15600,-27000,233,0
0,-21600,-27000,-23823,-27000,27000,-27000,-19930,27000,-2454,9000,-13500,-27000,-27000,-27000,-14490,-16200,234,0
0,-27000,-11571,-7941,-9000,-27000,-27000,-26512,-27000,7363,-3600,-13500,-27000,-27000,-27000,-17487,-16200,235,0
0,-27000,-11571,-20647,-9000,-27000,-27000,-22733,27000,27000,-25200,-13500,-27000,-27000,-27000,-19520,-5400,238,0
0,-27000,-11571,-14294,-9000,-27000,-27000,-17370,27000,-2454,0,-13500,-27000,-27000,-27000,-14940,-27000,240,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-26878,-27000,17181,-12600,-13500,-27000,-27000,-27000,-13066,-27000,241,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-24440,-27000,12272,-23400,-13500,-27000,-27000,-27000,-16500,-27000,242,0
0,-27000,-27000,-20647,-9000,-27000,-27000,-25537,27000,12272,-3600,0,-27000,-27000,-27000,-17000,-16200,243,0
0,-27000,-19285,-27000,-27000,-27000,-27000,-22977,27000,-22090,-14400,-13500,-27000,-27000,-27000,-18970,-16200,244,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-7009,-27000,17181,-25200,-27000,-27000,-27000,-27000,-17000,-27000,245,0
0,-27000,-27000,-17470,-27000,27000,-27000,-17492,27000,-17181,14400,-13500,-27000,-27000,-27000,-16470,-16200,246,0
-13500,-27000,-19285,-17470,-27000,-27000,-27000,-27000,-27000,22090,-12600,-13500,-27000,-27000,-27000,-17900,-16200,249,0
0,-27000,-11571,-17470,-27000,-27000,-27000,-21758,-27000,17181,-25200,-27000,-27000,-27000,-27000,-21160,-27000,251,0
0,-27000,-19285,-23823,-9000,-27000,-27000,-21270,27000,-7363,9000,-27000,-27000,-27000,-27000,-19350,-27000,253,0
13500,-27000,-27000,-17470,-27000,-27000,-18000,-20051,27000,12272,-16200,-13500,-27000,-27000,-27000,-12987,-27000,254,0
0,-27000,-11571,-14294,-9000,-27000,-27000,-19686,-27000,22090,-1800,-13500,-27000,-27000,-27000,-19400,-16200,255,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-27000,-27000,12272,0,-13500,-27000,-27000,-27000,-7000,-27000,256,0
0,-27000,-27000,-17470,-9000,-27000,-27000,-18345,27000,17181,3600,-13500,-27000,-27000,-27000,-16200,-16200,258,0
13500,-27000,-11571,-17470,9000,-27000,-18000,-13469,27000,2454,12600,-13500,-27000,-27000,-27000,-8100,-16200,259,0
13500,-27000,-19285,-23823,-27000,-27000,-18000,-26878,27000,-2454,-9000,-13500,-27000,-27000,-27000,-10400,5400,260,0
0,-27000,-19285,-23823,-9000,-27000,-27000,-26512,27000,-27000,0,-13500,-27000,-27000,-27000,-20250,-27000,261,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-23952,-27000,12272,-3600,-13500,-27000,-27000,-27000,-19146,-16200,262,0
0,-27000,-11571,-11117,-9000,-27000,-27000,-20539,-27000,12272,-25200,-13500,-27000,-27000,-27000,-20347,-5400,265,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-26878,-27000,7363,-7200,27000,27000,-27000,-26068,-27000,-16200,266,0
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26512,-27000,7363,12600,27000,-27000,-27000,-27000,-27000,-16200,267,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-12128,27000,-12272,-1800,-27000,-27000,-27000,-27000,-18500,-27000,269,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-25049,27000,-17181,-9000,0,-27000,-27000,-27000,-19500,-27000,270,0
13500,-27000,-27000,-20647,-27000,-27000,-18000,-20051,27000,27000,-12600,-13500,-27000,-27000,-27000,-14400,-5400,273,0
0,-27000,-19285,-27000,-27000,-27000,-27000,-24683,27000,-2454,-7200,-13500,-27000,-27000,-27000,-17565,-16200,274,0
13500,-27000,-11571,-14294,-27000,-27000,-18000,-13713,27000,2454,-18000,-13500,-27000,-27000,-27000,-15154,16200,275,0
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-22977,27000,-17181,-19800,-13500,-27000,-27000,-27000,-18710,-5400,277,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-25659,-27000,7363,3600,-13500,-27000,-27000,-27000,-17467,-16200,278,0
13500,-27000,-11571,-11117,-27000,-27000,-18000,-22124,27000,-12272,9000,-13500,-27000,-27000,-27000,-13436,-16200,279,0
