,Type,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,N
128,2,-72,-50,-30,-66,-42,-257,-124,-390,-168,128
129,2,-92,-7,-178,-78,-84,-271,-25,-471,-147,129
130,2,-28,-30,-246,-159,-42,-277,33,-471,-525,130
132,2,-176,-62,348,-213,-12,-252,-266,-471,-525,132
133,2,-180,-34,338,-105,-80,-256,-259,-471,-210,133
134,2,-176,-72,322,-192,17,-258,-269,-471,-525,134
135,2,-184,-86,332,-177,-28,-255,-237,-471,63,135
136,2,-176,-105,312,-243,45,-254,-242,-471,-273,136
137,2,-216,-116,276,-96,34,-249,-270,-471,-525,137
138,2,-232,-126,256,-105,75,-244,-291,-471,-525,138
140,2,-224,-72,260,-84,-6,-242,-270,-471,-525,140
141,2,-160,-85,278,-246,22,-253,-240,-444,-168,141
142,2,-236,-120,254,-135,40,-242,-258,-453,0,142
143,2,-216,-105,246,-30,11,-244,-263,-471,-525,143
144,2,-236,-106,188,-198,36,-252,-200,-471,-21,144
145,2,-164,-120,286,-195,-4,-248,-213,-471,210,145
146,3,-192,-40,284,-233,16,-299,-221,-471,-525,146
147,3,-256,-72,258,-165,6,-254,-248,-471,-525,147
148,3,-232,-81,266,-153,9,-254,-237,-471,-315,148
149,3,-244,-189,256,-162,28,-253,-228,-471,-525,149
150,3,-232,-91,242,-39,-13,-250,-242,-471,-168,150
151,3,-47,27,332,-318,-111,-310,-132,-471,-525,151
152,3,-188,-41,282,-372,39,-304,-188,-471,-525,152
153,3,-256,-63,232,-201,8,-251,-249,-471,-525,153
154,3,-224,-119,268,-174,0,-249,-202,-471,-525,154
155,3,-240,-101,232,-189,40,-258,-223,-471,-525,155
156,3,-236,-64,230,-183,3,-258,-216,-471,-525,156
157,3,-51,-2,304,-393,-81,-299,-116,-471,-525,157
158,3,-188,-52,234,-111,-56,-252,-202,-471,-525,158
159,3,-180,-55,224,-78,-67,-253,-200,-471,-336,159
160,3,-168,-72,220,-105,-47,-254,-182,-471,-525,160
161,3,-127,-41,260,-342,4,-294,-192,-426,-21,161
162,3,-16,14,308,-294,-125,-287,-167,-471,252,162
163,5,-296,-4,88,483,-272,-142,-494,189,-525,163
164,5,-131,-132,-78,-9,8,-250,-72,-471,-525,164
165,5,-32,-249,-72,-99,25,-263,60,-471,-525,165
166,5,-40,-302,-106,-99,83,-252,81,-471,-525,166
167,5,-112,-141,-448,-72,114,-272,72,-471,-525,167
168,5,-232,-119,-448,-18,127,-213,-64,-471,-525,168
169,5,-104,-78,-448,-39,42,-263,51,-471,-525,169
170,5,48,-61,-448,-93,-39,-278,143,-471,-525,170
171,5,-371,-103,-448,345,-213,311,-385,-471,-525,171
172,5,-371,-105,-448,339,-191,311,-388,-471,-525,172
173,5,-84,-67,-448,-147,-36,-277,169,-471,-525,173
174,5,-76,-120,-126,84,-42,-234,-111,-399,546,174
175,5,-51,-108,-382,-114,78,-297,46,-471,63,175
176,6,-136,-5,30,-99,-24,-310,-124,-471,-525,176
177,6,-124,-26,34,-210,15,-310,-104,-471,-525,177
178,6,-168,41,0,-81,-23,-310,-155,-471,-525,178
179,6,-160,4,-10,-69,6,-310,-149,-471,-525,179
180,6,-380,35,-100,-105,194,-310,-322,-471,-525,180
181,6,-144,94,-292,-45,-11,-310,-86,-471,-525,181
182,6,-131,10,-448,60,12,-310,7,-471,-525,182
183,6,-112,51,-448,-399,87,-310,41,-471,-525,183
184,6,-451,333,-448,-465,280,-310,-416,-471,-525,184
185,7,-448,-36,192,-24,20,-134,-538,-114,-525,185
186,7,-164,27,204,99,-136,-164,-502,18,-525,186
187,7,28,-61,220,-198,-23,-250,-198,-471,-525,187
188,7,0,81,-7,51,-234,-234,-105,-471,-525,188
189,7,48,174,-82,-174,-217,-279,-220,33,-525,189
190,7,-256,-17,-92,-30,48,-310,-214,-243,-525,190
191,7,-260,80,-448,147,67,-310,-205,-279,-336,191
192,7,-252,15,-448,270,84,-306,-177,-351,-336,192
194,7,-228,51,-448,27,68,-310,-229,0,-378,194
195,7,-280,9,-448,237,78,-302,-174,-288,-420,195
197,7,-207,65,-448,135,67,-310,-186,-273,-525,197
198,7,-287,33,-448,231,48,-306,-173,-279,-525,198
199,7,-256,96,-448,185,44,-305,-198,-312,-525,199
200,7,-296,110,-448,108,89,-310,-247,-282,-525,200
201,7,-240,-210,-448,-210,257,-40,-188,-471,-525,201
202,7,-296,80,-448,159,111,-310,-242,-303,-525,202
203,7,-236,75,-448,30,50,-310,-253,42,-525,203
204,7,-252,90,-448,114,69,-310,-209,-270,-525,204
205,7,-207,90,-448,-27,37,-310,-220,-6,-525,205
206,7,-240,89,-448,-6,50,-310,-214,-57,-525,206
208,7,-244,32,-448,255,23,-310,-136,-309,-525,208
209,7,-252,9,-448,297,0,-302,-163,-153,-525,209
210,7,-224,87,-448,30,45,-310,-241,6,-525,210
211,7,-72,31,-448,39,81,-310,-237,21,-525,211
212,7,-240,33,-448,15,100,-310,-233,0,-525,212
213,7,-216,18,-448,57,75,-310,-219,30,-525,213
