,class,mcg,gvh,lip,chg,aac,alm1,alm2,N
41,cp,-14,-21,-26,-38,15,-10,0,41
42,cp,-4,-8,-26,-38,1,-12,-2,42
43,cp,-15,-20,-26,-38,6,-18,-7,43
44,cp,17,-13,-26,-38,4,-16,-8,44
45,cp,-27,-20,-26,-38,1,-9,1,45
46,cp,0,-23,-26,-38,11,4,12,46
47,cp,-1,-18,-26,-38,-5,-22,-10,47
48,cp,-2,-23,-26,-38,13,-36,-22,48
49,cp,-21,-25,-26,-38,-1,-18,-6,49
50,cp,-7,-6,-26,-38,-2,-9,-13,50
51,cp,-15,-28,-26,-38,1,-48,-32,51
52,cp,-22,-22,-26,-38,-9,-12,-2,52
53,cp,-21,0,-26,-38,-7,2,10,53
54,cp,3,-11,-26,-38,-22,-35,-23,54
56,cp,7,-21,-26,-38,-9,-15,-4,56
57,cp,-4,-23,-26,-38,1,-18,-7,57
58,cp,0,-24,-26,-38,-14,-18,-6,58
59,cp,-2,-20,-26,-38,10,-17,-6,59
60,cp,0,-1,-26,-38,6,-5,5,60
61,cp,8,-22,-26,-38,-3,-22,-11,61
62,cp,-8,-17,-26,-38,4,-4,5,62
63,cp,-26,-28,-26,-38,2,-27,-14,63
64,cp,3,-29,-26,-38,7,-18,-6,64
65,cp,-20,-15,-26,-38,10,1,10,65
68,cp,-19,-21,-26,-38,-1,-25,-13,68
69,cp,-9,-10,-26,-38,12,-11,-1,69
71,cp,0,-7,-26,-38,3,-25,-13,71
72,cp,-7,-8,-26,-38,-2,-15,-4,72
73,cp,0,-16,-26,-38,-2,-26,-29,73
74,cp,-20,-15,-26,-38,-7,-22,-11,74
75,cp,-2,-28,-26,-38,4,-25,-13,75
76,cp,4,-16,-26,-38,1,-26,-14,76
77,cp,-3,-10,-26,-38,7,-7,2,77
78,cp,0,-29,-26,-38,-1,-24,-12,78
79,cp,-15,-17,-26,-38,4,-13,-3,79
80,cp,-10,-29,-26,-38,-3,-16,-5,80
81,cp,-3,-15,-26,-38,1,-20,-8,81
82,cp,-15,-11,-26,-38,-3,-28,-15,82
83,cp,-10,-2,-26,-38,13,-20,-8,83
84,cp,-8,-1,-26,-38,-1,-6,4,84
85,cp,-4,-12,-26,-38,8,-2,7,85
86,cp,6,-9,-26,-38,5,-5,4,86
87,cp,8,-14,-26,-38,-7,-15,-7,87
88,cp,6,-7,-26,-38,-17,-28,-15,88
90,cp,-10,-12,-26,-38,8,-16,-5,90
91,cp,-4,-16,-26,-38,-7,-24,-22,91
92,cp,-3,-15,-26,-38,6,-27,-24,92
93,cp,-14,-13,-26,-38,-8,-30,-17,93
95,cp,20,18,-26,-38,1,-16,-11,95
96,cp,-9,-21,-26,-38,-14,-17,-6,96
97,cp,12,-4,-26,-38,-7,-22,-16,97
100,cp,-6,-18,-26,-38,19,-26,-14,100
101,cp,-20,-1,-26,-38,19,-17,-6,101
102,cp,-6,-32,-26,-38,10,-35,-20,102
103,cp,-11,-11,-26,-38,9,-33,-20,103
104,cp,-20,-24,-26,-38,-6,-21,-9,104
105,cp,-18,-8,-26,-38,0,-19,-8,105
106,cp,0,-9,-26,-38,-5,-13,-9,106
107,cp,-1,-26,-26,-38,-11,-6,3,107
108,cp,5,-15,-26,-38,5,-21,-9,108
109,cp,3,-29,-26,-38,12,-31,-24,109
110,cp,-12,-25,-26,-38,16,-45,-29,110
111,cp,-10,-23,-26,-38,7,-2,7,111
112,cp,-9,-24,-26,-38,2,-21,-22,112
113,cp,-6,-28,-26,-38,-1,-22,-10,113
114,cp,-6,-14,-26,-38,-1,-31,-18,114
115,cp,-3,-7,-26,-38,13,-31,-18,115
116,cp,-10,-16,-26,-38,-3,-17,-6,116
117,cp,7,-9,-26,-38,9,-37,-23,117
118,cp,-19,-7,-26,-38,-7,-9,1,118
119,cp,-15,-29,-26,-38,6,-9,1,119
120,cp,-19,-32,-26,-38,-5,-19,-7,120
121,cp,-20,-17,-26,-38,5,-28,-15,121
122,cp,-27,-19,-26,-38,9,-21,-10,122
123,cp,-40,-27,-26,-38,-3,-22,-10,123
124,cp,17,-22,-26,-38,5,-16,-5,124
125,cp,-10,-7,-26,-38,0,-14,-3,125
128,cp,-21,-24,-26,-38,-1,-25,-12,128
129,cp,-7,-14,-26,-38,-2,-12,-2,129
130,cp,-44,-20,-26,-38,-2,-3,6,130
131,cp,-5,-27,-26,-38,-6,-17,-6,131
132,cp,-14,-14,-26,-38,5,-29,-16,132
133,cp,-17,-28,-26,-38,27,-22,-10,133
134,cp,-27,-6,-26,-38,5,-14,-3,134
135,cp,-8,-16,-26,-38,9,-19,-8,135
136,cp,-14,-21,-26,-38,-1,-33,-19,136
137,cp,-18,-18,-26,-38,-8,-25,-12,137
138,cp,-4,-17,-26,-38,11,-29,-16,138
139,cp,-22,-24,-26,-38,-2,-22,-10,139
140,cp,0,-23,-26,-38,0,1,10,140
141,cp,-17,-16,-26,-38,-7,-13,-6,141
142,cp,-28,-15,-26,-38,10,-24,-12,142
143,im,-38,3,-26,-38,5,41,-12,143
144,im,0,-6,-26,-38,-1,-4,5,144
145,im,19,-11,-26,-38,7,31,35,145
148,im,-1,-18,-26,-38,13,24,29,148
149,im,2,3,-26,-38,4,35,38,149
150,im,-17,-23,-26,-38,7,26,30,150
151,im,8,-19,-26,-38,21,20,24,151
152,im,-15,-11,-26,-38,27,14,20,152
153,im,11,-11,-26,-38,12,27,31,153
154,im,-32,9,-26,-38,30,6,14,154
155,im,-4,-8,-26,-38,21,31,35,155
156,im,29,-22,-26,-38,9,40,43,156
157,im,40,-14,-26,-38,4,20,25,157
158,im,4,-13,-26,-38,16,27,31,158
159,im,10,-9,-26,-38,-4,36,39,159
160,im,4,-17,-26,-38,7,39,39,160
162,im,28,-12,-26,-38,7,15,21,162
163,im,3,-2,-26,-38,13,20,26,163
164,im,-11,-1,-26,-38,-11,27,31,164
165,im,20,0,-26,-38,4,27,24,165
166,im,10,-1,-26,-38,12,30,34,166
167,im,3,1,-26,-38,8,25,30,167
168,im,19,-8,-26,-38,15,34,37,168
169,im,5,-16,-26,-38,9,28,32,169
170,im,-13,-8,-26,-38,12,33,36,170
171,im,30,-14,-26,-38,11,37,40,171
173,im,1,-18,-26,-38,17,23,28,173
174,im,27,-18,-26,-38,27,19,25,174
175,im,6,-21,-26,-38,22,13,20,175
176,im,22,-5,-26,-38,15,15,17,176
177,im,16,3,-26,-38,10,16,22,177
178,im,39,-21,-26,-38,17,20,25,178
180,im,19,-4,-26,-38,21,28,32,180
181,im,26,-18,-26,-38,12,35,34,181
182,im,16,-8,26,-38,10,26,31,182
183,im,-28,-7,-26,-38,-11,-12,-1,183
185,im,-24,-12,-26,-38,12,27,32,185
186,im,45,-2,-26,-38,7,21,27,186
187,im,26,-12,-26,-38,12,27,24,187
188,im,-32,-15,-26,-38,19,19,25,188
189,im,17,-6,-26,-38,10,16,3,189
190,im,-11,-21,-26,-38,2,14,20,190
191,im,19,7,-26,-38,22,16,22,191
192,im,-3,-7,-26,-38,9,24,29,192
193,im,-10,9,-26,-38,8,25,30,193
195,im,15,-1,-26,-38,11,29,33,195
196,im,7,-18,-26,-38,12,11,18,196
197,im,6,-1,-26,-38,27,10,17,197
198,im,16,-12,-26,-38,1,30,34,198
199,im,-7,-11,-26,-38,-5,25,30,199
200,im,13,-2,-26,-38,12,19,25,200
201,im,-8,-11,-26,-38,7,18,23,201
202,im,-5,-17,-26,-38,8,21,26,202
204,im,-13,-14,-26,-38,6,28,33,204
205,im,17,8,-26,-38,2,36,39,205
206,im,4,-9,-26,-38,8,26,22,206
207,im,-33,-8,-26,-38,13,21,19,207
208,im,-13,-22,-26,-38,13,43,45,208
210,im,25,-19,-26,-38,12,25,30,210
211,im,8,-4,-26,-38,18,25,30,211
212,im,2,1,-26,-38,-8,25,-26,212
213,im,-8,-13,-26,-38,-6,28,-32,213
214,im,-44,-7,-26,-38,-9,16,-5,214
215,im,-34,-9,-26,-38,-3,16,-28,215
218,im,19,17,-26,-38,20,22,17,218
219,im,27,-6,-26,-38,20,49,50,219
221,imS,19,-9,-26,-38,10,25,30,221
222,imL,31,-2,26,57,-4,-4,-19,222
223,imL,26,-19,26,-38,7,31,35,223
224,imU,28,-16,-26,-38,21,26,30,224
225,imU,35,-17,-26,-38,22,30,34,225
226,imU,39,-10,-26,-38,21,25,30,226
227,imU,25,-15,-26,-38,15,23,28,227
228,imU,35,-22,-26,-38,2,31,21,228
229,imU,34,-25,-26,-38,12,26,30,229
231,imU,15,-29,-26,-38,20,24,28,231
232,imU,23,-21,-26,-38,10,13,19,232
233,imU,22,-10,-26,-38,10,19,25,233
235,imU,32,13,-26,-38,6,20,26,235
236,imU,40,-9,-26,-38,11,27,25,236
237,imU,33,-2,-26,-38,7,27,25,237
238,imU,37,-14,-26,-38,-2,16,19,238
239,imU,13,2,-26,-38,15,22,27,239
240,imU,19,-16,-26,-38,4,26,31,240
242,imU,42,-19,-26,-38,15,38,41,242
243,imU,37,-5,-26,-38,12,36,39,243
244,imU,43,-9,-26,-38,17,25,30,244
245,imU,3,-12,-26,-38,18,23,28,245
246,imU,32,-17,-26,-38,6,8,13,246
247,imU,26,-5,-26,-38,26,35,38,247
248,imU,20,-13,-26,-38,23,10,17,248
249,imU,37,-6,-26,-38,12,27,31,249
250,imU,29,-32,-26,-38,12,24,29,250
251,imU,5,3,26,-38,12,20,25,251
252,imU,44,-16,-26,-38,8,22,26,252
253,imU,40,-4,-26,-38,31,41,21,253
254,imU,19,-7,-26,-38,20,21,27,254
255,imU,42,-2,-26,-38,19,30,34,255
256,imU,35,-4,-26,-38,6,15,19,256
257,imU,12,-20,-26,-38,-38,-2,-16,257
259,om,34,10,-26,-38,39,-11,-20,259
260,om,19,11,-26,-38,21,-10,-20,260
261,om,23,30,-26,-38,29,-1,-24,261
262,om,17,17,-26,-38,7,-18,-16,262
263,om,23,26,-26,-38,30,3,-12,263
264,om,30,32,-26,-38,12,2,-20,264
265,om,29,26,-26,-38,42,6,-20,265
266,om,31,18,-26,-38,39,5,-19,266
267,om,33,-1,-26,-38,44,2,-29,267
268,om,30,20,-26,-38,31,3,-34,268
269,om,24,18,-26,-38,40,-6,-22,269
270,om,12,10,-26,-38,33,-15,-4,270
271,om,21,-7,-26,-38,22,3,-16,271
272,om,8,23,-26,-38,28,-13,-11,272
273,om,20,-1,-26,-38,26,-18,-23,273
275,om,25,1,-26,-38,33,-12,-28,275
276,om,19,-9,-26,-38,35,-6,-20,276
277,om,27,13,-26,-38,24,-8,-13,277
278,om,24,5,-26,-38,29,-11,-19,278
279,omL,33,-1,26,-38,-7,3,-48,279
280,omL,22,-9,26,-38,10,5,-13,280
282,omL,23,-2,26,-38,22,6,-33,282
283,omL,24,-9,26,-38,18,4,-20,283
284,pp,30,-9,-26,-38,-2,3,-13,284
285,pp,26,3,-26,-38,12,1,-6,285
286,pp,22,28,-26,-38,-10,-10,-13,286
287,pp,29,20,-26,-38,13,0,-18,287
288,pp,21,-1,-26,-38,3,-4,2,288
289,pp,28,28,-26,-38,-27,4,-28,289
290,pp,23,12,-26,-38,2,-6,-16,290
291,pp,23,23,-26,-38,10,-2,-26,291
292,pp,23,3,-26,-38,7,-14,-11,292
293,pp,19,42,-26,-38,-9,0,0,293
294,pp,12,1,-26,-38,-5,-4,-16,294
295,pp,27,13,-26,-38,-4,3,-10,295
296,pp,22,16,-26,-38,-13,-13,-6,296
297,pp,23,23,-26,-38,-19,-9,-24,297
299,pp,24,24,-26,-38,-6,14,7,299
300,pp,-12,-19,-26,-38,9,-22,-11,300
301,pp,26,6,-26,-38,3,0,-2,301
302,pp,19,-1,-26,-38,5,19,-29,302
303,pp,30,24,-26,-38,5,-2,-8,303
304,pp,19,28,-26,-38,-5,-4,-15,304
305,pp,19,25,-26,-38,-4,-12,-30,305
306,pp,19,13,-26,-38,16,-11,-10,306
307,pp,27,28,-26,-38,-4,3,-17,307
308,pp,24,20,-26,-38,-1,-7,-7,308
309,pp,20,26,-26,-38,-7,-6,-9,309
310,pp,30,-11,-26,-38,6,5,-7,310
311,pp,31,26,-26,-38,-9,1,-16,311
312,pp,19,7,-26,-38,-5,-7,-14,312
313,pp,25,9,-26,-38,-14,-12,-25,313
315,pp,25,22,-26,-38,2,5,-23,315
316,pp,20,8,-26,-38,-3,-12,-29,316
317,pp,19,22,-26,-38,2,-20,-20,317
318,pp,22,13,-26,-38,-3,-1,-14,318
319,pp,25,1,-26,-38,2,-7,3,319
320,pp,24,9,-26,-38,5,-11,-15,320
321,pp,20,20,-26,-38,6,-15,-11,321
322,pp,18,20,-26,-38,3,-2,5,322
323,pp,32,15,-26,-38,0,-12,-10,323
324,pp,20,23,-26,-38,-7,-12,-5,324
325,pp,-15,-19,-26,-38,8,-11,-1,325
326,pp,18,25,-26,-38,2,-15,-9,326
327,pp,12,-4,-26,-38,-1,-14,-19,327
328,pp,25,8,-26,-38,-3,-1,-24,328
329,pp,25,7,-26,-38,19,-3,-8,329
330,pp,-1,1,-26,-38,8,-2,7,330
331,pp,30,-1,-26,-38,3,17,-19,331
332,pp,27,-1,-26,-38,4,-16,-17,332
333,pp,17,2,-26,-38,0,-12,-11,333
334,pp,15,3,-26,-38,-2,-9,-12,334
335,pp,30,16,-26,-38,-13,2,3,335
