Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,RowNum,Segmentation
-70,-70,-56,70,-35,-10,-70,-70,-46,262,D
70,-70,12,70,-17,-60,-70,-52,46,303,D
-70,70,-36,-70,0,-70,-70,-35,70,2953,D
70,-70,-66,-70,70,10,-70,-35,23,3645,D
-70,-70,-46,-70,17,20,-70,-35,70,1647,D
-70,70,-22,70,-17,20,-70,0,46,4023,D
70,-70,-62,-70,70,-70,-70,35,46,919,D
-70,-70,-62,-70,70,-70,-70,-52,-70,382,D
-70,70,-26,-70,-17,-20,-70,-17,-70,4936,D
-70,-70,-40,-70,0,-60,-70,-35,70,3488,D
70,-70,-26,70,17,-60,-70,-17,46,2703,D
-70,70,-8,70,0,-70,-70,0,46,4411,D
70,-70,-48,-70,-17,20,-70,-17,70,5518,D
-70,-70,-52,-70,-17,-10,-70,-52,46,3116,D
70,-70,-42,-70,70,-50,-70,-17,70,2028,D
-70,70,-28,70,70,-60,-70,-35,46,4869,D
-70,-70,-48,70,70,20,-70,17,46,1032,D
-70,70,-48,-70,-52,-60,70,-35,46,3348,D
-70,-70,-66,-70,70,-60,-70,-52,46,3719,D
-70,-70,-40,-70,70,-70,-70,35,70,5464,D
70,70,36,-70,35,-60,70,-35,46,215,D
-70,-70,-70,70,70,-60,-70,-52,46,685,D
70,-70,-62,-70,70,-70,-70,0,70,2284,D
70,-70,-40,70,70,-70,-70,-70,46,4976,D
-70,70,14,-70,0,-60,0,-17,70,5711,D
70,-70,-66,-70,70,-60,-70,0,70,4637,D
70,-70,-28,70,52,30,-70,-70,-46,2480,D
-70,-70,-34,70,-70,20,-70,-70,46,4005,D
-70,70,0,70,-70,-70,70,35,70,3785,D
-70,-70,-44,-70,70,-70,-70,-17,46,1604,D
-70,70,26,70,0,-60,-70,-52,0,2788,D
-70,-70,-70,-70,70,-70,-70,-35,-70,183,D
-70,70,-56,70,-70,10,-70,-17,46,4855,D
-70,-70,-30,70,-70,-50,-70,-70,70,2174,D
-70,70,-34,70,52,-20,-70,-70,46,5444,D
-70,-70,-70,-70,70,-40,-70,-17,46,4396,D
-70,-70,-62,-70,0,-70,-70,-35,70,725,D
-70,70,-30,70,-70,-10,-70,-70,0,3951,D
70,-70,-20,70,0,-60,-70,-70,46,2194,D
70,-70,-24,70,-17,-20,-70,-52,46,3459,D
-70,-70,-70,-70,70,-60,-70,-17,-70,5138,D
-70,-70,-66,-70,-17,-20,-70,-52,46,2215,D
-70,70,62,-70,-52,-60,70,-52,46,3993,D
70,70,-44,-70,0,-70,-70,-52,-46,1177,D
70,70,-40,70,17,20,-70,-52,46,5492,D
-70,70,52,-70,35,-60,-70,-70,46,98,D
-70,-70,-52,-70,70,30,-70,0,46,5217,D
-70,70,-30,-70,-52,-60,70,-17,46,5425,D
-70,70,-54,70,-52,-70,-70,-35,46,3769,D
70,-70,-64,-70,70,-20,-70,0,-70,5796,D
70,-70,-66,-70,70,-70,-70,-52,46,1840,D
70,-70,-54,70,70,30,-70,-70,46,1563,D
-70,-70,-50,70,0,20,-70,0,0,5213,D
-70,-70,-48,70,17,-70,-70,-17,-70,1679,D
-70,-70,-28,70,0,-60,-70,-17,-70,2258,D
70,70,-16,70,0,10,-70,-17,46,132,D
70,70,-4,-70,-35,-60,70,-70,70,5173,D
-70,-70,-64,-70,-35,-30,-70,-35,-46,2241,D
70,-70,-52,70,17,-30,-70,-52,46,4807,D
-70,-70,-52,70,-17,-60,-70,0,70,2547,D
70,-70,-42,70,17,-70,-70,-52,46,3011,D
-70,-70,-64,-70,70,-60,-70,-17,-46,4856,D
-70,-70,-56,-70,-35,-60,-70,-17,46,1058,D
-70,70,24,-70,-52,-60,-70,-52,46,4235,D
70,-70,-68,-70,70,-70,-70,-17,-70,5820,D
-70,70,-52,-70,17,-10,-70,-35,46,767,D
-70,-70,-62,-70,70,-70,-70,70,46,747,D
-70,70,-50,-70,-17,10,0,-17,0,461,D
-70,-70,-62,-70,70,0,-70,-17,-70,3129,D
-70,-70,-70,-70,70,10,-70,17,70,4786,D
70,70,-28,70,52,10,-70,-70,46,1072,D
70,-70,-40,-70,52,10,-70,-70,46,1287,D
-70,-70,-48,-70,-35,-60,-70,0,70,5714,D
-70,-70,-32,70,70,10,-70,-35,46,677,D
-70,-70,-56,-70,70,0,-70,-17,70,1901,D
70,-70,-22,70,-17,-60,-70,-70,46,3552,D
70,-70,-16,-70,0,-60,-70,-70,46,3825,D
70,70,-32,70,52,-20,-70,-52,70,1835,D
70,-70,-68,-70,70,-60,-70,0,-70,5141,D
-70,70,-48,-70,-52,-60,0,-35,46,325,D
70,70,-32,-70,-70,-70,0,-52,70,1890,D
70,-70,-66,-70,70,-30,-70,-17,46,2945,D
-70,70,-54,-70,-52,-20,70,-17,46,2285,D
-70,-70,-70,-70,70,-60,-70,-52,46,415,D
70,-70,-60,-70,70,-30,-70,35,-70,5069,D
70,70,-42,70,52,50,70,-52,46,1015,D
-70,-70,-54,-70,-35,-70,-70,17,70,5851,D
-70,-70,-42,-70,70,20,-70,-35,46,3437,D
70,-70,-54,70,-17,-10,-70,-52,46,4871,D
70,-70,-56,70,70,20,-70,-52,46,5930,D
70,-70,-40,-70,0,-70,-70,-17,-70,4722,D
70,-70,-22,70,70,10,-70,-70,0,427,D
-70,-70,-56,70,70,-70,-70,-70,46,2518,D
70,-70,-30,70,70,-70,-70,-52,46,1625,D
-70,70,-32,70,0,-60,-70,-52,46,1599,D
-70,-70,-70,-70,70,-60,-70,-35,70,3943,D
-70,70,38,-70,35,-70,-70,-52,46,2840,D
70,-70,-46,70,-35,-70,-70,0,46,2420,D
-70,-70,-68,-70,70,-60,-70,-70,46,3633,D
70,-70,-60,-70,70,-60,-70,-17,-70,4357,D
-70,-70,-48,70,70,-60,-70,-70,-46,3799,D
-70,70,-42,70,-70,-60,-70,-52,46,5471,D
70,-70,-54,-70,-70,-60,-70,-70,46,1277,D
-70,-70,-52,70,70,10,-70,-17,46,1520,D
70,-70,-50,70,-70,-40,-70,-17,-46,5816,D
-70,-70,-64,-70,70,-70,-70,-52,46,1657,D
70,-70,-46,-70,17,40,-70,-70,70,2636,D
70,-70,-50,-70,17,-60,-70,-52,70,4167,D
-70,-70,-62,-70,0,-40,-70,17,-70,3360,D
-70,70,-40,-70,-35,-70,0,0,46,3100,D
-70,70,68,70,-52,-60,-70,-70,46,1690,D
-70,70,62,70,-52,-60,70,-52,46,1648,D
-70,-70,-64,-70,0,-70,-70,0,23,4458,D
-70,-70,-66,-70,70,-70,-70,-35,-70,5163,D
-70,-70,-52,-70,70,-20,-70,-35,46,1051,D
70,-70,-60,-70,70,-10,-70,-35,-70,3165,D
-70,-70,-66,-70,70,-70,-70,-17,46,873,D
70,-70,-60,-70,70,-70,-70,-35,70,2343,D
-70,-70,-44,-70,0,-30,-70,-70,-70,2265,D
70,-70,-50,-70,0,20,-70,-52,-70,4598,D
70,-70,-64,-70,70,20,-70,-17,-70,1162,D
-70,70,-56,70,-17,-60,70,-52,-70,4116,D
70,70,-56,-70,52,40,0,-35,46,4600,D
-70,-70,-64,-70,70,20,-70,0,46,495,D
70,-70,-42,-70,-70,-60,-70,17,70,3305,D
-70,-70,-46,-70,-35,0,-70,-35,46,5925,D
70,-70,-52,-70,70,70,-70,-70,46,2219,D
-70,-70,-60,-70,70,-60,-70,52,70,4787,D
-70,-70,-40,70,-17,20,-70,17,46,3415,D
-70,70,-56,-70,-52,-30,70,52,70,5083,D
-70,-70,-16,70,0,-70,-70,-70,-70,647,D
-70,-70,-70,-70,70,10,-70,70,46,1556,D
70,70,-32,-70,-17,-60,0,-52,70,3527,D
-70,70,-16,-70,-52,-40,70,-17,70,2697,D
-70,-70,-64,-70,70,-30,-70,-17,46,2651,D
70,-70,-66,-70,0,-60,-70,-35,70,1113,D
-70,-70,-52,70,-70,20,-70,-52,-70,3595,D
-70,-70,-66,-70,70,-60,-70,-35,46,1100,D
70,-70,-42,-70,17,-60,-70,70,70,3790,D
-70,70,-46,-70,-52,-30,70,-17,-70,3763,D
70,70,-30,-70,-35,-60,0,-52,70,3482,D
