v1,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,RowNum,badGood
100,0,0,100,52,0,0,11,-100,0,0,0,0,-100,-22,-56,-83,77,63,0,0,53,36,-90,45,100,-100,-100,82,0,0,0,0,49,1
-100,100,100,100,-100,0,0,0,0,100,100,100,100,-100,-100,100,-100,-100,100,0,0,100,-100,100,-100,100,100,-100,-100,0,0,0,0,51,1
100,-68,-100,-100,100,100,63,4,-100,-100,-100,100,100,89,-100,-100,100,84,100,100,-100,-100,-100,-19,100,100,-100,-100,-100,-100,100,100,34,53,1
100,8,-21,-100,100,-100,100,72,47,-82,-63,-100,-100,-100,100,-3,59,-42,-42,-75,-100,-100,-47,-100,24,100,-100,-100,-39,-100,-100,-100,61,55,1
-100,-100,100,100,-100,-100,100,0,0,100,100,-100,-19,100,100,-100,-100,100,-100,-100,-100,100,100,100,-100,100,100,100,100,0,0,-100,-100,57,1
100,17,-100,-100,100,0,0,0,0,-100,100,0,0,-61,-68,81,36,52,14,0,0,-100,-27,-85,96,100,100,-100,68,0,0,0,0,59,1
100,2,-36,0,0,0,0,0,0,0,0,0,0,12,-55,23,83,100,-42,0,0,8,-100,-11,-17,100,-77,-100,19,0,0,100,-27,61,1
100,64,100,21,-100,100,100,88,31,-67,100,-6,59,2,5,-52,-100,14,-3,33,-44,-100,100,81,-100,100,-6,100,100,21,-100,100,100,63,1
100,85,11,100,39,100,-100,67,8,100,27,100,61,100,36,100,3,58,-43,100,63,89,27,91,-33,100,16,38,-2,100,22,100,37,65,1
-100,100,-100,100,-100,100,-100,100,-100,100,100,100,100,100,-100,100,100,100,100,100,100,100,-100,100,-100,100,-100,100,66,0,0,100,-100,67,1
100,100,100,100,-100,100,-100,100,100,100,100,100,100,100,-100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,100,-100,100,-100,69,1
-100,100,-100,100,100,-100,-100,100,-100,0,0,0,0,-100,100,100,-100,100,-100,-75,100,100,-100,100,-100,100,-100,-100,-100,0,0,100,-100,71,1
100,69,39,0,0,-33,70,0,0,0,0,0,0,21,-24,21,19,46,78,0,0,0,0,73,27,76,63,0,0,0,0,0,0,73,1
-100,100,100,0,0,100,-100,100,-100,100,100,100,100,100,-100,100,100,100,100,100,-100,-100,-100,100,-100,100,-100,100,100,0,0,100,-100,75,1
-100,100,100,100,-100,100,100,100,100,100,100,100,100,100,100,100,-100,-100,100,-100,100,-100,100,100,-100,100,100,-100,100,-100,-100,-100,100,77,1
-100,100,100,100,-100,100,100,-100,100,0,0,100,100,0,0,0,0,-100,100,-100,100,100,100,100,-100,100,100,100,100,100,-100,-100,100,79,1
-100,100,-100,100,100,100,100,100,100,100,100,100,-100,100,-100,100,100,100,-100,100,100,100,100,100,-100,100,100,100,-100,100,100,100,-100,81,1
100,68,-17,82,22,47,33,26,58,100,-15,1,45,1,39,19,41,11,36,4,31,0,25,-3,19,-4,14,-5,10,-5,7,-4,5,83,1
100,39,-6,97,4,100,100,36,15,54,13,62,-82,58,68,67,-10,47,-12,66,15,83,46,47,16,49,15,32,-3,39,14,34,13,85,1
100,73,-5,89,3,100,73,66,-6,48,-17,82,10,57,100,50,22,67,10,100,-30,99,-100,57,33,57,15,42,8,49,15,100,100,87,1
100,42,12,35,13,23,28,-4,44,5,36,-19,34,-13,27,3,40,-35,13,-20,5,-19,36,-14,-5,-10,-7,-100,-100,-3,-7,-1,-6,89,1
100,85,-9,-32,-81,-9,-56,81,5,90,-1,-18,64,-20,-68,86,-11,78,-16,-7,51,-34,81,79,-4,71,-25,78,-14,-21,-78,-18,-60,91,1
100,-54,15,-34,73,52,-14,32,-7,21,-15,47,9,56,-15,16,45,34,3,50,7,-64,-62,100,66,41,-40,-15,11,2,56,53,-9,93,1
100,79,17,0,0,57,7,39,100,38,100,-2,53,24,13,-3,95,-51,85,-10,39,-43,24,-92,81,-34,88,-100,69,-100,13,0,0,95,1
100,-100,-100,0,0,51,-79,61,33,-100,-41,0,0,0,0,100,-27,36,-64,97,-100,-100,-100,100,-60,-100,-100,-100,-100,100,-100,0,0,98,1
100,100,-100,0,0,78,-99,81,55,-42,-95,0,0,0,0,72,-77,74,-60,0,0,18,-100,-100,-100,-100,-100,100,-100,100,-100,0,0,100,1
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,102,1
100,28,-32,0,0,68,-100,31,96,64,6,35,-85,0,0,59,-36,45,-81,0,0,0,0,24,18,100,-24,6,-48,16,-70,0,0,104,1
100,0,0,0,0,0,0,0,0,62,100,0,0,0,0,37,-72,56,-100,0,0,0,0,0,0,100,11,0,0,0,0,0,0,106,1
100,10,11,0,0,0,0,55,82,31,100,0,0,0,0,37,-100,33,-100,0,0,0,0,-43,-100,100,-100,55,-24,0,0,0,0,108,1
100,66,-63,0,0,0,0,77,100,100,-28,0,0,0,0,62,-23,84,-100,100,-100,0,0,0,0,100,-94,-13,-93,0,0,0,0,110,1
100,42,-61,0,0,100,-100,90,100,43,64,0,0,0,0,67,-29,84,-100,0,0,0,0,21,68,100,22,0,0,0,0,0,0,112,1
100,91,82,-73,100,-39,56,5,30,-19,-10,-3,-9,1,-3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1
100,100,-15,100,5,57,-2,66,2,85,-3,72,0,69,-16,20,-15,66,-17,67,3,100,-30,31,-34,52,-20,33,-3,28,-44,49,-7,116,1
100,39,52,-79,11,-17,-76,67,1,82,40,-67,31,-35,-64,46,15,55,6,-52,45,-48,-48,32,70,52,39,57,39,-55,-30,25,-56,118,1
100,44,-13,58,-15,18,-67,35,-4,29,-5,29,29,36,-42,20,-2,36,5,13,49,62,16,33,16,41,-7,35,-5,13,-36,29,-29,120,1
100,74,83,-76,-24,33,-14,45,-14,-67,13,33,0,29,-7,-38,51,24,2,45,5,17,-26,-56,-10,25,-51,100,0,-67,-5,26,2,122,1
100,100,100,0,0,0,0,0,0,48,-89,-52,45,-95,29,65,100,0,0,0,0,62,20,-100,-100,100,-100,100,100,0,0,0,0,124,1
100,60,40,83,81,76,71,84,-11,97,8,96,-86,92,88,95,-5,89,18,98,-70,87,-86,29,-30,100,17,63,43,88,81,82,69,126,1
100,0,0,-34,85,0,0,69,-100,97,31,-26,-59,-30,66,94,16,0,0,0,0,-18,-100,0,0,100,-100,0,0,4,62,0,0,128,1
100,0,0,99,-23,19,-5,0,0,93,7,100,-20,100,7,100,-11,0,0,100,-21,100,-42,0,0,100,-18,0,0,100,-26,29,-16,130,1
100,100,100,100,-100,0,0,0,0,100,100,100,-100,100,100,100,-100,0,0,0,0,100,-28,0,0,100,-100,100,100,100,-100,0,0,132,1
100,0,0,100,-100,0,0,0,0,100,100,100,-25,100,23,100,-100,0,0,0,0,100,100,0,0,100,-100,0,0,100,-100,0,0,134,1
100,-100,28,22,15,-76,-71,-31,71,-100,100,-82,34,-79,-3,-98,-83,-60,-54,-5,-83,94,-94,-100,-43,74,9,-100,5,18,3,-40,-48,136,1
100,-27,40,-27,12,-18,-4,6,-7,4,3,-1,3,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1
100,95,-4,-100,-33,-100,-2,97,1,93,-2,-100,16,-100,0,95,-4,92,-3,-99,12,-93,35,96,0,82,14,90,-7,-100,-19,-100,-34,140,1
100,100,-6,100,-100,50,-11,36,-22,100,-26,17,-11,100,-35,100,-39,100,-43,0,-25,100,-50,100,-28,100,-56,100,-28,100,-63,100,-66,142,1
100,63,-8,73,0,61,-8,63,-12,69,-12,67,-14,65,-10,55,-12,55,-22,59,-20,67,-24,45,-25,52,-25,57,-31,43,-22,47,-27,144,1
100,-66,16,6,0,0,6,63,6,19,0,-3,9,6,0,16,-16,44,-38,0,-9,0,0,3,-47,3,0,-72,3,-3,0,0,9,146,1
100,85,5,100,8,100,100,91,-1,84,4,100,27,100,100,81,5,91,12,100,51,100,-100,81,4,100,72,84,7,100,87,100,100,148,1
100,-21,29,23,10,28,32,32,35,36,-35,9,28,-10,21,-9,24,-34,31,-48,-8,30,33,-57,-24,32,-28,-47,19,-27,-31,40,3,150,1
100,6,-1,7,1,0,-1,1,-4,2,-8,-1,5,6,-3,0,9,-6,8,-5,3,3,-1,1,1,10,-1,3,0,4,0,5,-3,152,1
100,5,1,-3,5,1,5,-8,1,2,-7,-4,4,-8,-5,-9,8,-4,5,2,2,-4,-1,3,-1,1,2,3,1,3,1,-5,-1,154,1
100,4,3,0,0,2,-2,2,-5,-5,-1,1,-2,0,-3,-5,-3,-2,4,2,0,5,-2,5,2,4,2,2,1,-3,-2,-1,2,156,1
100,9,1,14,-4,11,-8,13,-6,23,-1,12,8,15,-14,29,-5,19,7,12,0,11,0,15,-10,8,1,11,-7,10,-7,12,-7,158,1
100,2,1,4,-1,2,1,1,4,0,0,2,-3,-2,6,-4,3,-2,0,4,-3,2,0,0,-1,2,-1,1,-2,-2,-2,1,0,160,1
100,100,-100,100,100,-100,100,100,-100,100,-100,-100,-100,-100,100,100,100,100,100,-100,100,100,-100,100,-100,100,100,100,100,-100,100,-100,100,162,1
100,100,100,100,51,63,-100,100,100,3,3,100,100,0,0,100,-100,100,100,100,100,31,100,100,100,100,100,100,100,-94,100,0,0,164,1
100,0,0,-100,-100,-100,100,0,0,-100,100,100,100,100,-100,0,0,0,0,-100,-100,-100,100,100,44,100,-100,0,0,-100,-100,-100,100,166,1
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,168,1
-100,-100,100,100,100,0,0,100,-100,100,-100,100,-100,-100,-100,0,0,-100,-100,0,0,0,0,-100,-100,100,-100,100,100,-100,-100,0,0,170,1
-100,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,100,75,0,0,0,0,-100,100,0,0,100,-100,-100,-100,100,100,0,0,172,1
100,62,-64,0,0,0,0,34,29,43,39,-8,52,36,31,-54,33,12,-15,2,-53,-57,18,29,-27,26,-57,43,24,18,-2,17,-42,174,1
100,0,0,-100,-63,100,51,8,-23,-100,-36,13,-59,100,-100,0,0,83,-8,-25,100,17,-71,0,0,-19,-47,-22,-49,74,90,-68,46,176,1
100,19,-17,0,0,0,0,0,0,0,0,12,-19,0,0,0,0,0,0,0,0,-5,-7,8,9,17,-11,13,10,3,-5,17,20,178,1
100,100,100,-100,100,-100,-82,35,21,46,7,23,6,35,35,73,-4,23,53,0,0,-30,-16,100,-67,100,-100,100,-25,35,20,83,8,180,1
-100,-100,100,100,-100,0,0,0,0,100,-100,100,100,0,0,100,-100,0,0,0,0,100,100,-100,100,100,-100,-100,100,-100,-100,0,0,182,1
100,-100,-100,-51,100,100,-100,100,54,0,0,24,-100,100,100,0,0,100,100,100,100,0,0,-72,100,33,-100,100,-100,70,-100,48,100,184,1
100,100,100,0,0,100,-100,-100,-100,100,100,100,-100,0,0,100,-100,100,100,0,0,100,-100,-100,-100,100,100,-100,100,-100,100,0,0,186,1
-100,-100,100,-100,-100,0,0,-100,100,100,-100,-100,-100,-100,100,0,0,-100,-100,-100,100,0,0,100,-100,100,100,100,-100,100,100,0,0,188,1
-100,-100,-100,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,-100,-100,0,0,100,100,100,-100,100,-100,0,0,0,0,0,0,190,1
100,0,0,0,0,0,0,0,0,100,-33,17,26,0,0,0,0,0,0,-20,-22,-17,91,-100,50,4,75,-23,-100,-13,-27,-20,-94,192,1
100,100,-10,-100,-100,-100,-100,100,32,81,76,-100,-100,-100,100,47,100,100,100,69,-100,-100,-100,83,37,100,100,100,51,-100,-33,-100,73,194,1
100,100,-100,100,100,100,100,100,-50,100,100,100,100,100,100,0,0,100,100,100,100,100,-100,100,100,100,63,100,-75,-75,100,100,100,196,1
100,37,-100,-100,-100,-8,100,100,95,75,-39,-100,-79,-10,100,49,47,32,-27,-14,-20,-12,7,3,7,3,-1,0,-2,-1,0,0,0,198,1
-100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,-100,0,0,100,100,100,-100,100,100,100,0,100,100,100,-100,0,0,200,1
100,0,0,0,0,0,0,-85,-100,0,0,100,-100,0,0,-100,-100,-100,-100,100,-100,-60,-100,100,100,-100,-20,100,-100,0,100,0,0,202,1
-100,0,0,-100,100,100,100,-100,-100,0,0,-100,-100,-100,-31,-100,-100,100,-100,100,-100,0,0,100,-100,-100,-100,0,0,100,-100,0,0,204,1
100,-100,100,-100,15,28,100,-100,100,-100,-100,100,100,-100,-23,28,-100,100,100,-31,-100,-100,-100,100,-100,-100,-4,100,-100,-100,-32,15,100,206,1
100,-1,-50,0,0,-2,100,0,0,0,0,0,0,0,0,0,0,31,93,-35,74,-35,-81,0,0,-62,-51,0,0,0,0,0,0,208,1
-100,-100,-100,100,-100,-100,100,0,0,100,-100,100,-100,0,0,0,0,0,0,-100,100,100,-100,-100,100,100,100,0,0,100,50,0,0,210,1
100,-100,-60,0,0,-100,65,-87,100,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,30,23,100,52,0,0,0,0,0,0,212,1
-100,100,100,100,-100,100,100,100,100,100,100,100,-100,100,100,100,-100,100,-100,100,100,100,100,100,-100,100,100,100,100,100,100,100,100,214,1
-100,100,-100,100,100,100,-100,100,100,100,-100,100,-100,100,-100,100,100,100,100,100,100,100,-100,100,100,100,100,100,100,100,100,100,-100,216,1
-100,100,100,100,-100,100,-100,100,100,0,0,100,-100,0,0,0,0,0,0,-100,100,100,100,0,0,100,100,0,0,-100,-100,0,0,218,1
-100,100,-100,-100,100,-100,100,100,100,100,100,-100,-100,-100,-100,100,100,100,-100,-100,-100,-100,-100,100,0,100,-100,100,-100,-100,100,-100,100,220,1
-100,100,-100,100,100,100,-100,100,100,100,-100,100,100,100,-100,100,-100,100,100,100,100,100,-100,100,-100,100,-100,100,100,100,-100,100,100,222,1
-100,0,0,100,100,0,0,100,100,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,-100,100,0,0,224,1
-100,0,0,100,100,100,100,0,0,0,0,-100,-100,0,0,-100,-100,0,0,0,0,100,100,0,0,100,100,0,0,-100,100,0,0,226,1
-100,100,-100,100,100,100,100,100,100,100,100,100,-100,100,100,100,100,100,-100,100,-100,100,-100,100,-100,100,100,100,-100,100,100,100,100,228,1
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,230,1
-100,100,100,-100,-100,-100,-100,0,0,0,0,-100,-100,0,0,0,0,0,0,-100,100,100,100,0,0,100,-100,0,0,-100,-100,-100,-100,232,1
100,69,100,92,-76,82,4,76,11,87,74,70,18,76,14,93,-25,71,19,65,25,60,77,100,-54,89,22,71,54,100,-7,57,24,234,1
100,39,16,41,7,26,24,23,13,19,25,25,37,9,23,-4,37,5,25,25,10,8,30,-2,28,-6,26,-15,15,-9,31,-19,29,236,1
100,6,-15,-4,6,8,-2,-1,19,6,0,12,-10,6,0,2,-3,-13,-21,7,1,7,3,8,16,28,-5,-6,-9,4,5,7,-11,238,1
100,25,36,0,0,-30,-100,0,0,8,-7,0,0,0,0,0,0,0,0,1,68,-20,34,-10,36,6,-100,0,0,6,-100,0,0,240,1
100,43,-50,0,0,0,0,46,51,59,2,0,0,0,0,16,-45,59,-18,0,0,0,0,99,-41,-100,-100,-28,-76,0,0,0,0,242,1
100,0,0,100,13,88,-2,0,0,100,-42,100,20,100,-5,100,-82,0,0,100,-4,100,-19,0,0,100,-100,0,0,100,12,91,-10,244,1
100,0,0,0,0,0,0,0,0,0,0,-100,100,100,55,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,246,1
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,248,1
100,0,0,0,0,100,100,-100,-100,0,0,100,-11,0,0,0,0,-100,100,100,100,100,-100,0,0,100,-100,0,0,0,0,100,100,250,1
100,0,0,0,0,0,0,-100,100,0,0,100,37,-12,-12,0,0,-100,-100,0,0,100,-100,0,0,100,23,0,0,0,0,0,0,252,1
