no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
0,-27000,-27000,-17470,-27000,-27000,-27000,11641,27000,12272,-27000,-13500,-27000,-27000,-27000,-16380,-16200,120,1
0,-27000,-19285,-17470,-27000,-27000,-27000,-18711,27000,-17181,-10800,-13500,-27000,-27000,-27000,-19605,-27000,122,1
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-25293,27000,22090,-23400,-13500,-27000,-27000,-27000,-15800,-16200,126,1
0,-16200,-27000,-20647,-27000,-27000,0,-13591,27000,17181,-3600,-13500,-27000,-27000,-27000,-7920,-27000,127,1
0,-27000,-11571,-14294,-9000,-27000,-27000,8227,27000,27000,21600,-13500,-27000,-27000,-27000,-19945,-5400,132,1
0,-21600,-19285,-27000,-27000,-27000,-27000,-7252,27000,2454,16200,-13500,-27000,-27000,-27000,-14850,-5400,136,1
13500,-27000,-11571,-14294,-27000,-27000,-18000,-23708,27000,-12272,-1800,-13500,-27000,-27000,-27000,-12728,-27000,139,1
0,-27000,-27000,-20647,-27000,-27000,-27000,2864,27000,-2454,1800,-13500,-27000,-27000,-27000,-19500,-27000,141,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-25659,27000,22090,3600,-13500,-27000,-27000,-27000,-15900,-16200,142,1
0,-27000,-11571,-17470,-27000,-27000,-18000,-18101,27000,-12272,-16200,-13500,-27000,-27000,-27000,-16290,-27000,149,1
0,-27000,-27000,-17470,-27000,-27000,-18000,-11153,27000,12272,23400,-13500,-27000,-27000,-27000,-13050,-5400,151,1
0,-27000,-27000,-20647,9000,-27000,-27000,6277,-27000,2454,1800,-13500,-27000,-27000,-27000,-16100,-27000,153,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-23221,27000,-12272,-3600,-13500,-27000,-27000,-27000,-17550,-27000,158,1
0,-27000,-27000,-20647,-27000,-27000,-18000,-26024,27000,-2454,-1800,-13500,-27000,-27000,-27000,-11400,-27000,166,1
0,-27000,-19285,-20647,-27000,-27000,-27000,7130,27000,12272,5400,-13500,-27000,-27000,-27000,-16000,-27000,168,1
0,-27000,-27000,-20647,-27000,-27000,-27000,11641,27000,12272,-1800,-13500,-27000,-27000,-27000,-15000,-27000,170,1
0,-27000,-19285,-20647,-9000,-27000,-27000,-4449,27000,27000,0,-13500,-27000,-27000,-27000,-19080,-27000,171,1
0,-21600,-27000,-23823,-27000,-27000,-27000,-25659,27000,22090,-19800,-13500,-27000,-27000,-27000,-12000,-16200,174,1
0,-27000,-27000,-20647,9000,-27000,-27000,8593,27000,2454,9000,-13500,-27000,-27000,-27000,-15500,-27000,179,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-13713,27000,17181,-9000,-13500,-27000,-27000,-27000,-16200,-27000,182,1
0,-27000,-19285,-11117,-27000,-27000,-27000,-3108,27000,7363,10800,-13500,-27000,-27000,-27000,-17055,-27000,184,1
0,-27000,-11571,-17470,-27000,-27000,-27000,9934,27000,7363,5400,-13500,-27000,-27000,-27000,-19200,-27000,188,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-20417,27000,17181,-10800,-13500,-27000,-27000,-27000,-15120,-27000,190,1
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-25171,27000,17181,-18000,-13500,-27000,-27000,-27000,-12500,-27000,191,1
0,-27000,-27000,-14294,-27000,-27000,-27000,-16516,27000,-12272,-18000,-13500,-27000,-27000,-27000,-18542,-27000,192,1
0,-27000,-19285,-20647,9000,-27000,-27000,-7374,27000,-17181,16200,-13500,-27000,-27000,-27000,-14000,-27000,193,1
0,-27000,3857,4764,-27000,-27000,-18000,-9081,27000,7363,-23400,-13500,-27000,-27000,-27000,-15112,-16200,194,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-16395,-27000,12272,-9000,0,-27000,-27000,-27000,-17000,-27000,196,1
0,-27000,-19285,-20647,9000,-27000,-27000,23952,27000,12272,18000,-13500,-27000,-27000,-27000,-16300,-27000,199,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-17248,-27000,2454,0,-13500,-27000,-27000,-27000,-19350,-16200,201,1
0,-27000,-11571,-20647,-9000,-27000,-27000,-1279,27000,27000,0,-13500,-27000,-27000,-27000,-20625,-27000,202,1
0,-27000,-19285,-20647,-27000,-27000,-27000,6277,27000,-7363,-5400,-13500,-27000,-27000,-27000,-17500,-27000,203,1
0,-27000,-27000,-17470,-27000,-27000,-27000,25781,27000,12272,-14400,-13500,-27000,-27000,-27000,-20000,-27000,205,1
13500,-27000,-11571,-23823,-27000,-27000,-27000,-3230,27000,7363,-5400,-13500,-27000,-27000,-27000,-16397,-16200,213,1
0,-16200,-11571,-20647,-27000,-27000,0,-9446,27000,-7363,19800,-13500,-27000,-27000,-27000,-9235,-16200,226,1
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-23099,27000,-22090,-19800,-13500,-27000,-27000,-27000,-19710,-27000,229,1
13500,-27000,-19285,-23823,-27000,-27000,-18000,-21027,27000,-7363,-16200,-13500,-27000,-27000,-27000,-11069,-27000,230,1
0,-27000,-27000,-20647,-27000,-27000,9000,-12738,27000,-12272,23400,-13500,-27000,-27000,-27000,-16416,-27000,236,1
0,-27000,-19285,-17470,-27000,-27000,-27000,-22611,27000,27000,18000,-13500,-27000,-27000,-27000,-16800,-27000,237,1
0,-27000,-19285,-27000,-9000,-27000,-27000,-23221,27000,-12272,14400,-13500,-27000,-27000,-27000,-17550,-27000,239,1
0,-27000,-27000,-14294,-27000,-27000,-18000,-24805,27000,-7363,27000,-13500,-27000,-27000,-27000,-15720,-27000,247,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-24440,27000,7363,-1800,-13500,-27000,-27000,-27000,-11900,-27000,248,1
13500,-27000,-11571,-23823,-27000,-27000,-18000,-8471,27000,7363,-5400,-13500,-27000,-27000,-27000,-12330,-16200,250,1
0,-27000,-27000,-14294,-9000,-27000,-27000,-5424,27000,2454,18000,-13500,-27000,-27000,-27000,-18925,-16200,252,1
0,-27000,-27000,-20647,9000,-27000,-27000,-14566,-27000,17181,0,-13500,-27000,-27000,-27000,-16850,-27000,257,1
-13500,-27000,-11571,-20647,-27000,-27000,-27000,-1523,27000,22090,-18000,-13500,-27000,-27000,-27000,-11790,-16200,263,1
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-15663,27000,17181,-1800,-13500,-27000,-27000,-27000,-15500,-27000,264,1
0,-27000,-27000,-17470,-27000,-27000,-27000,9812,27000,27000,23400,-13500,-27000,-27000,-27000,-17970,-5400,268,1
0,-27000,-11571,-14294,-27000,-27000,-27000,-23586,27000,7363,21600,-13500,-27000,-27000,-27000,-15463,-16200,271,1
0,-27000,-19285,-20647,9000,-27000,-27000,-7374,27000,-17181,16200,-13500,-27000,-27000,-27000,-14000,-27000,272,1
-13500,-27000,-27000,-20647,9000,-27000,-27000,2133,27000,-2454,-1800,-13500,-27000,-27000,-27000,-17940,-27000,276,1
0,-27000,-19285,-17470,-9000,-27000,-27000,-22002,27000,-7363,-12600,-13500,-27000,-27000,-27000,-15390,-27000,281,1
0,-27000,-27000,-14294,-9000,-27000,-27000,-6643,27000,-2454,21600,-13500,-27000,-27000,-27000,-20782,-27000,282,1
0,-27000,-27000,-14294,-9000,-27000,-27000,-19442,27000,-17181,-12600,-13500,-27000,-27000,-27000,-20625,-27000,283,1
-13500,-27000,-19285,-14294,-27000,-27000,-27000,-13225,27000,12272,-16200,-13500,-27000,-27000,-27000,-15120,-27000,284,1
-27000,-16200,-11571,-20647,-27000,-27000,-27000,-18711,27000,-12272,14400,-13500,-27000,-27000,-27000,-16162,-16200,287,1
13500,-27000,-19285,-20647,-27000,-27000,-27000,2864,27000,17181,21600,-13500,-27000,-27000,-27000,-14130,-27000,289,1
0,-27000,-19285,-23823,-27000,-27000,-27000,-26146,27000,7363,10800,-13500,-27000,-27000,-27000,-13000,-16200,291,1
0,-27000,-11571,-23823,-27000,-27000,-27000,-12616,27000,-12272,-23400,-13500,-27000,-27000,-27000,-18270,-16200,294,1
-13500,-27000,-27000,-17470,-27000,-27000,-27000,-6765,27000,22090,-27000,-13500,-27000,-27000,-27000,-16000,-27000,295,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,301,1
0,-27000,-19285,-20647,-27000,-27000,-18000,-3961,27000,17181,21600,-13500,-27000,-27000,-27000,-16020,-27000,303,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-19564,27000,-17181,12600,-13500,-27000,-27000,-27000,-15300,-27000,306,1
0,-27000,-19285,-17470,-27000,-27000,-27000,-22489,27000,7363,-27000,-13500,-27000,-27000,-27000,-13410,-27000,309,1
0,-27000,-19285,-27000,-27000,-27000,-27000,-24683,27000,2454,16200,-13500,-27000,-27000,-27000,-11900,-16200,310,1
0,-27000,-11571,-11117,-27000,-27000,-27000,-8593,27000,2454,-12600,-13500,-27000,-27000,-27000,-16691,-27000,313,1
13500,-27000,-19285,-27000,-27000,-27000,-18000,-23708,27000,-12272,1800,-13500,-27000,-27000,-27000,-13300,-27000,315,1
0,-27000,-19285,-23823,9000,-27000,-27000,3108,27000,-2454,-18000,-13500,-27000,-27000,-27000,-15500,-16200,317,1
0,-27000,-27000,-20647,9000,-27000,-27000,12006,27000,7363,3600,-13500,-27000,-27000,-27000,-15500,-16200,319,1
0,-27000,-27000,-20647,-27000,-27000,-27000,2864,27000,-2454,1800,-13500,-27000,-27000,-27000,-19500,-27000,322,1
0,-21600,-19285,-20647,-27000,-27000,-27000,-20661,27000,2454,-14400,-13500,-27000,-27000,-27000,-13710,-27000,323,1
0,-27000,-27000,-20647,-9000,-27000,-27000,-21392,27000,22090,-9000,-13500,-27000,-27000,-27000,-19080,-16200,325,1
13500,-27000,-11571,-23823,-27000,-27000,-18000,-16760,27000,7363,21600,-13500,-27000,-27000,-27000,-11069,-27000,326,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,327,1
0,-27000,-27000,-20647,9000,-27000,-27000,6277,-27000,2454,1800,-13500,-27000,-27000,-27000,-16100,-27000,331,1
0,-27000,-11571,-23823,9000,-27000,-27000,-13591,-27000,2454,16200,-13500,-27000,-27000,-27000,-17550,-27000,332,1
0,-27000,-27000,-17470,-27000,-27000,-18000,-9568,27000,7363,3600,-13500,-27000,-27000,-27000,-12930,-27000,338,1
-13500,-27000,-11571,-7941,-27000,-27000,-27000,-25659,27000,2454,-19800,-13500,-27000,-27000,-27000,-12500,-27000,352,1
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26878,27000,-22090,21600,-13500,-27000,-27000,-27000,-21000,-27000,356,1
0,-27000,-11571,-17470,9000,-27000,-27000,-16395,27000,-2454,18000,-13500,-27000,-27000,-27000,-12869,-27000,366,1
0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,369,1
0,-27000,-27000,-20647,-27000,-27000,-18000,-12981,27000,17181,19800,-13500,-27000,-27000,-27000,-16560,-27000,376,1
0,-27000,-19285,-17470,-9000,-27000,-27000,-22733,27000,-17181,-23400,-13500,-27000,-27000,-27000,-19890,-27000,378,1
0,-27000,3857,7941,-27000,-27000,-18000,1889,27000,12272,-5400,-13500,-27000,-27000,-27000,-15338,-16200,380,1
0,-16200,-11571,-20647,-27000,-27000,0,-23099,27000,27000,-25200,-13500,-27000,-27000,-27000,-12210,-27000,382,1
0,-27000,-11571,-23823,-27000,-27000,-27000,-15907,27000,-2454,5400,-13500,-27000,-27000,-27000,-13410,-27000,384,1
13500,-27000,-19285,-17470,-27000,-27000,-18000,-8106,27000,27000,18000,-13500,-27000,-27000,-27000,-15440,-16200,387,1
0,-16200,-27000,-23823,-27000,-27000,0,-27000,27000,-7363,-3600,-13500,-27000,-27000,-27000,-4900,-27000,388,1
0,-21600,-11571,-17470,-27000,-27000,-27000,-23952,27000,2454,12600,-13500,-27000,-27000,-27000,-11790,-16200,395,1
0,-27000,-19285,-20647,-27000,-27000,-27000,6277,27000,-7363,-5400,-13500,-27000,-27000,-27000,-17500,-27000,398,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-60,27000,7363,-7200,-13500,-27000,-27000,-27000,-19000,-27000,400,1
0,-27000,-11571,-20647,-27000,-27000,-27000,-1036,27000,17181,-27000,-13500,-27000,-27000,-27000,-16715,-5400,401,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-2864,27000,12272,-12600,-13500,-27000,-27000,-27000,-18000,-27000,402,1
0,-27000,-27000,-17470,-27000,-27000,-27000,-23830,-27000,12272,1800,-13500,-27000,-27000,-27000,-15233,-16200,405,1
0,-21600,-19285,-17470,-27000,-27000,0,-11884,27000,27000,18000,-13500,-27000,-27000,-27000,-11338,-5400,407,1
13500,-27000,-27000,-17470,-27000,-27000,-18000,-16638,27000,7363,-23400,-13500,-27000,-27000,-27000,-11790,-27000,408,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-6643,27000,7363,-18000,-13500,-27000,-27000,-27000,-16470,-27000,409,1
13500,-27000,-11571,-20647,-27000,-27000,-18000,-17735,27000,-7363,23400,-13500,-27000,-27000,-27000,-11955,-27000,413,1
0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,418,1
0,-27000,-19285,-17470,-9000,-27000,-27000,-12128,27000,22090,-3600,-13500,-27000,-27000,-27000,-19410,-5400,420,1
-13500,-27000,-11571,-20647,-27000,-27000,-27000,-7252,27000,17181,-3600,-13500,-27000,-27000,-27000,-15500,-27000,423,1
13500,-27000,-19285,-23823,-27000,-27000,-18000,-23952,27000,2454,-25200,-13500,-27000,-27000,-27000,-8300,-27000,424,1
0,-27000,-27000,-14294,-9000,-27000,-27000,1767,27000,12272,19800,-13500,-27000,-27000,-27000,-18557,-16200,426,1
0,-27000,-11571,-17470,-27000,-27000,-27000,-12372,27000,-12272,-14400,-13500,-27000,-27000,-27000,-17905,-27000,427,1
0,-27000,-11571,-14294,-27000,-27000,-27000,304,27000,12272,-23400,-13500,-27000,-27000,-27000,-17282,-16200,429,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-25171,27000,-22090,0,-13500,-27000,-27000,-27000,-17900,-16200,434,1
0,-27000,-27000,-11117,9000,-27000,-27000,1036,27000,12272,-18000,-13500,-27000,-27000,-27000,-13300,-27000,435,1
0,-27000,-19285,-14294,-27000,-27000,-27000,-8959,27000,7363,10800,-13500,-27000,-27000,-27000,-17370,-27000,440,1
0,-27000,-3857,-11117,-27000,-27000,-18000,-26390,27000,-12272,-21600,-13500,-27000,-27000,-27000,-14325,-27000,448,1
0,-27000,-19285,-23823,9000,-27000,-27000,3108,27000,-2454,-18000,-13500,-27000,-27000,-27000,-15500,-16200,449,1
0,-27000,-11571,-23823,-9000,-27000,-27000,-24074,27000,17181,0,-13500,-27000,-27000,-27000,-16290,-16200,450,1
0,-27000,-27000,-11117,-27000,-27000,-27000,1036,27000,12272,-18000,-13500,-27000,-27000,-27000,-13300,-16200,455,1
0,-21600,-19285,-17470,-27000,-27000,-27000,-15785,27000,17181,27000,-13500,-27000,-27000,-27000,-16357,-16200,456,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-17004,27000,-2454,12600,-13500,-27000,-27000,-27000,-18450,-27000,459,1
0,-27000,-11571,-7941,-27000,-27000,-27000,-6765,27000,7363,3600,-13500,-27000,-27000,-27000,-16988,-27000,463,1
0,-27000,-19285,-20647,9000,-27000,-27000,10665,27000,-7363,-5400,-13500,-27000,-27000,-27000,-16900,-27000,465,1
0,-27000,-19285,-23823,-9000,-27000,-27000,-22367,27000,12272,18000,-13500,-27000,-27000,-27000,-15741,-27000,474,1
0,-16200,-11571,-23823,-27000,-27000,18000,-23343,27000,-2454,-7200,-13500,-27000,-27000,-27000,-8296,-27000,475,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,480,1
0,-16200,-27000,-23823,-27000,-27000,-9000,-25049,27000,-17181,-14400,-13500,-27000,-27000,-27000,-18697,-27000,487,1
0,-27000,-19285,-17470,-27000,-27000,-27000,-24074,27000,-22090,-9000,-13500,-27000,-27000,-27000,-17900,-27000,488,1
0,-27000,-19285,-20647,-27000,-27000,-27000,10178,27000,22090,-21600,-13500,-27000,-27000,-27000,-18100,-27000,490,1
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-26878,27000,-22090,21600,-13500,-27000,-27000,-27000,-21000,-27000,495,1
0,-27000,-27000,-17470,-27000,-27000,-27000,-1036,27000,-2454,-16200,-13500,-27000,-27000,-27000,-14000,-27000,496,1
13500,-27000,-11571,-17470,-27000,-27000,-18000,-1523,27000,17181,9000,-13500,-27000,-27000,-27000,-14130,-16200,506,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-22002,27000,17181,9000,-13500,-27000,-27000,-27000,-11000,-16200,512,1
0,-27000,-11571,-23823,-27000,-27000,-18000,-8227,27000,17181,25200,-13500,-27000,-27000,-27000,-16590,-5400,513,1
0,-27000,-11571,-14294,-27000,-27000,-18000,-14932,27000,-12272,-10800,-13500,-27000,-27000,-27000,-17622,-16200,516,1
13500,-27000,-27000,-23823,9000,-27000,-18000,-10787,27000,2454,12600,-13500,-27000,-27000,-27000,-8100,-27000,527,1
0,-27000,-11571,-23823,-27000,-27000,-18000,-23708,27000,-2454,18000,-13500,-27000,-27000,-27000,-11733,-27000,528,1
0,-21600,-27000,-17470,-27000,-27000,-27000,-16516,27000,27000,-14400,-13500,-27000,-27000,-27000,-14800,-27000,531,1
0,-21600,-27000,-20647,-27000,-27000,0,13225,27000,7363,27000,-13500,-27000,-27000,-27000,-9720,-27000,536,1
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-22733,27000,-17181,-10800,-13500,-27000,-27000,-27000,-19890,-27000,538,1
-13500,-27000,19285,20647,-27000,-27000,-18000,-25537,27000,-17181,25200,-13500,-27000,-27000,-27000,-14194,-27000,539,1
0,-27000,-27000,-14294,-27000,-27000,-18000,-21270,27000,12272,19800,-13500,-27000,-27000,-27000,-13938,-16200,542,1
0,-27000,-27000,-20647,9000,-27000,-27000,4205,27000,-2454,-1800,-13500,-27000,-27000,-27000,-15800,-16200,547,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-17492,27000,-17181,16200,-13500,-27000,-27000,-27000,-17000,-27000,552,1
-13500,-16200,3857,1588,-27000,-27000,0,-23343,27000,22090,-25200,-13500,-27000,-27000,-27000,-8378,-27000,554,1
0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,559,1
0,-27000,-27000,-20647,9000,-27000,-27000,6277,-27000,2454,1800,-13500,-27000,-27000,-27000,-16100,-27000,560,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-22977,27000,22090,18000,-13500,-27000,-27000,-27000,-16600,-16200,561,1
0,-27000,-19285,-17470,-27000,-27000,-27000,1279,27000,12272,-19800,-13500,-27000,-27000,-27000,-16970,-27000,563,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-13500,-27000,-27000,-27000,-14000,-27000,564,1
0,-27000,-11571,-20647,-27000,-27000,-18000,-21514,27000,17181,-16200,-13500,-27000,-27000,-27000,-13050,-16200,566,1
0,-27000,-27000,-17470,-27000,-27000,-27000,10056,27000,22090,-23400,-13500,-27000,-27000,-27000,-18100,-27000,571,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-20905,27000,17181,5400,-13500,-27000,-27000,-27000,-16200,-16200,576,1
0,-27000,-27000,-17470,-27000,-27000,9000,-15297,27000,12272,-5400,-13500,-27000,-27000,-27000,-14012,-27000,578,1
0,-27000,-19285,-23823,-9000,-27000,-27000,-23952,27000,17181,-23400,-13500,-27000,-27000,-27000,-14100,-16200,580,1
0,-27000,-11571,-11117,-27000,-27000,-27000,-8959,27000,-2454,16200,-13500,-27000,-27000,-27000,-19047,-27000,581,1
0,-27000,-27000,-20647,-27000,-27000,-27000,2864,27000,-2454,1800,-13500,-27000,-27000,-27000,-19500,-27000,596,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-16638,27000,-2454,7200,-13500,-27000,-27000,-27000,-14310,-27000,599,1
0,-27000,-27000,-20647,-9000,-27000,-27000,-26268,27000,-22090,18000,-13500,-27000,-27000,-27000,-19100,-27000,600,1
0,-27000,-11571,-17470,-27000,-27000,-27000,4205,27000,17181,12600,-13500,-27000,-27000,-27000,-17565,-5400,601,1
0,-27000,-27000,-20647,9000,-27000,-27000,5302,27000,-2454,14400,-13500,-27000,-27000,-27000,-16100,-27000,602,1
0,-27000,-11571,-11117,-27000,-27000,-27000,-7009,27000,2454,19800,-13500,-27000,-27000,-27000,-17055,-27000,610,1
0,-27000,-11571,-23823,-27000,-27000,-27000,-13957,27000,-7363,23400,-13500,-27000,-27000,-27000,-18925,-16200,619,1
0,-27000,-11571,-20647,-27000,-27000,-27000,-6643,27000,17181,-27000,-13500,-27000,-27000,-27000,-16110,-16200,627,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-14688,27000,-12272,-21600,-13500,-27000,-27000,-27000,-19000,-27000,629,1
0,-27000,-27000,-17470,-27000,-27000,-27000,4571,27000,-7363,-19800,-13500,-27000,-27000,-27000,-18000,-27000,630,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-26512,27000,-12272,-27000,-13500,-27000,-27000,-27000,-15900,-27000,636,1
13500,-27000,-27000,-14294,-27000,-27000,-18000,-10300,27000,7363,14400,-13500,-27000,-27000,-27000,-13905,-27000,638,1
0,-27000,-11571,-23823,-27000,-27000,-27000,-20173,27000,7363,21600,-13500,-27000,-27000,-27000,-16020,-27000,642,1
0,-27000,-11571,-14294,-27000,-27000,-27000,-8837,27000,2454,-10800,-13500,-27000,-27000,-27000,-19775,-27000,643,1
13500,-27000,-19285,-23823,-27000,-27000,-18000,-20661,27000,17181,1800,-13500,-27000,-27000,-27000,-11160,-16200,645,1
0,-27000,-27000,-17470,-27000,-27000,-18000,-20051,27000,27000,23400,-13500,-27000,-27000,-27000,-5040,-27000,648,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-17492,27000,-17181,16200,-13500,-27000,-27000,-27000,-17000,-27000,651,1
0,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-13500,-27000,-27000,-27000,-15500,-16200,665,1
0,-27000,-19285,-23823,-9000,-27000,-27000,-21027,27000,2454,-12600,-13500,-27000,-27000,-27000,-16470,-27000,671,1
0,-27000,-27000,-20647,9000,-27000,-27000,5302,27000,-2454,14400,-13500,-27000,-27000,-27000,-15500,-16200,674,1
-13500,-27000,-11571,-11117,-9000,-27000,-27000,-19686,27000,-2454,1800,-13500,-27000,-27000,-27000,-17383,-16200,678,1
0,-16200,-11571,-17470,-27000,-27000,0,-10422,27000,2454,-12600,-13500,-27000,-27000,-27000,-9745,-27000,681,1
0,-27000,-11571,-11117,-9000,-27000,-27000,-26268,27000,22090,1800,-13500,-27000,-27000,-27000,-19131,-27000,687,1
0,-27000,-27000,-17470,-9000,-27000,-27000,-19930,27000,22090,-23400,-13500,-27000,-27000,-27000,-19080,-27000,688,1
