pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
2,-29,-32,-32,-32,-32,32,933,2
4,-19,32,32,-32,-32,-2,938,2
4,-19,32,32,32,-32,-10,939,2
3,-19,32,-32,-32,32,32,942,2
5,-25,32,-32,32,-32,-10,944,2
2,-30,-32,-32,32,-32,32,946,2
2,-31,32,-32,32,-32,-6,949,2
5,-32,-32,-32,-32,32,-32,952,2
2,-29,-32,-32,-32,-32,-10,953,2
5,-19,-32,32,-32,-32,-32,955,2
3,-27,-32,-32,-32,-32,32,959,2
2,-27,32,-32,32,-32,32,962,2
2,-25,32,-32,-32,-32,10,967,2
4,-19,32,32,-32,-32,-2,969,2
2,-27,32,-32,-32,-32,32,976,2
5,-25,32,-32,32,-32,-10,980,2
2,-30,-32,-32,32,-32,32,982,2
2,-19,32,-32,-32,-32,-6,985,2
5,-32,-32,-32,-32,32,-32,988,2
2,-29,-32,-32,-32,-32,-10,989,2
5,-19,-32,32,-32,-32,-32,991,2
5,-24,-32,-32,32,-32,32,993,2
3,-27,-32,-32,-32,-32,32,995,2
3,-22,-32,-32,-32,32,10,998,2
5,-19,-32,-32,-32,32,32,1000,2
2,-27,32,-32,-32,-32,32,1002,2
5,-25,32,-32,32,-32,-10,1006,2
2,-29,-32,-32,-32,-32,32,1007,2
5,-25,32,-32,32,-32,-10,1010,2
2,-30,-32,-32,32,-32,32,1012,2
2,-27,32,-32,-32,-32,32,1014,2
5,-25,32,-32,32,-32,-10,1018,2
2,-30,-32,-32,32,-32,32,1020,2
2,-31,32,-32,32,-32,-6,1023,2
5,-32,-32,-32,-32,32,-32,1026,2
5,-19,-32,32,-32,-32,-32,1029,2
5,-24,-32,-32,32,-32,32,1031,2
3,-27,-32,-32,-32,-32,32,1033,2
2,-30,-32,-32,-32,-32,-2,1038,2
3,-25,32,-32,-32,-32,32,1041,2
2,-30,-32,-32,-32,-32,-2,1045,2
3,-27,-32,-32,-32,-32,32,1046,2
2,-29,-32,-32,-32,-32,32,1049,2
