pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
2,-8,32,-32,32,-32,-6,260,1
22,9,-32,-32,-32,-32,-6,262,1
-17,-27,-32,32,32,32,32,266,1
22,9,-32,-32,-32,-32,-6,270,1
27,-22,32,32,32,32,2,272,1
3,-13,-32,-32,-32,32,10,274,1
3,-13,-32,-32,-32,-32,32,276,1
32,-32,32,32,-32,32,32,278,1
32,-32,32,32,-32,32,32,280,1
-7,-19,32,-32,32,32,10,283,1
-17,-2,-32,32,32,32,10,284,1
18,4,32,-32,32,32,32,285,1
-6,-13,-32,32,32,32,32,288,1
11,32,32,-32,32,32,32,290,1
5,-13,-32,-32,32,-32,32,291,1
4,-13,32,32,32,-32,-10,294,1
23,-8,-32,32,-32,-32,32,296,1
11,3,-32,-32,-32,-32,32,297,1
-32,-25,32,-32,-32,-32,32,301,1
27,-22,32,32,32,32,2,302,1
32,-32,32,32,-32,32,32,308,1
-7,-19,32,-32,32,32,10,311,1
-17,-2,-32,32,32,32,10,312,1
18,4,32,-32,32,32,32,313,1
-6,-13,-32,32,32,32,32,316,1
23,-8,-32,32,32,32,32,317,1
11,32,32,-32,32,32,32,318,1
-32,-25,32,32,32,32,32,322,1
27,-22,32,-32,32,32,10,323,1
23,-8,-32,32,32,32,32,324,1
-15,-27,32,-32,32,-32,32,328,1
-32,-25,32,32,32,32,32,329,1
27,-22,32,-32,32,32,10,330,1
-7,-19,32,-32,32,32,10,334,1
-17,-2,-32,32,32,32,10,335,1
18,4,32,-32,32,32,32,336,1
